seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
1089,1728464324761881,842,679,2855,348,0,1204,1287,(-209.93975830078125-612.5205688476562j),(692.5148315429688+136.42152404785156j),(-457.47869873046875+509.9599304199219j),(-450.32208251953125-48.95333480834961j),(257.2193603515625-284.7657165527344j),(186.4811248779297+431.9296875j)
1090,1728464324762723,842,1039,2684,117,0,1352,1011,(-41.960174560546875-645.3711547851562j),(632.1605834960938+310.620849609375j),(-574.4412841796875+374.0282897949219j),(-421.0197448730469-163.49212646484375j),(324.4919128417969-207.8638153076172j),(65.4777603149414+464.71124267578125j)
1091,1728464324763565,842,1376,2368,0,69,1451,750,(130.00540161132812-633.302490234375j),(526.8448486328125+462.74603271484375j),(-653.6051635742188+212.089599609375j),(-364.3589782714844-266.88922119140625j),(368.6026306152344-116.42967224121094j),(-59.72600555419922+465.1009521484375j)
1092,1728464324764407,842,1669,1891,5,252,1492,503,(292.5048522949219-577.2666015625j),(380.834716796875+581.1143188476562j),(-685.6635131835938+35.84833908081055j),(-280.9359130859375-351.58056640625j),(386.7001953125-16.920852661132812j),(-180.80467224121094+433.0614929199219j)
1093,1728464324765250,843,1937,1600,0,485,1500,310,(434.88360595703125-481.1036071777344j),(214.31539916992188+659.0394287109375j),(-671.5783081054688-142.8359375j),(-177.63070678710938-411.5789794921875j),(378.50689697265625+83.9028549194336j),(-288.74078369140625+370.9703369140625j)
1094,1728464324766092,842,2369,1290,42,722,1442,145,(547.7636108398438-351.30230712890625j),(32.85883331298828+691.09228515625j),(-611.7261962890625-311.7861633300781j),(-62.39729309082031-442.8172302246094j),(342.9682312011719+178.76068115234375j),(-376.64703369140625+283.134521484375j)
1095,1728464324766934,842,2466,960,239,982,1328,39,(620.9886474609375-197.301513671875j),(-150.7911376953125+675.0670776367188j),(-508.2540283203125-458.9710388183594j),(57.477630615234375-443.03704833984375j),(284.1700134277344+261.2098083496094j),(-438.5425720214844+175.61529541015625j)
1096,1728464324767776,842,2512,632,478,1194,1163,2,(651.538330078125-29.682388305664062j),(-323.8345031738281+612.1096801757812j),(-369.8511962890625-574.2631225585938j),(172.60037231445312-412.4175720214844j),(205.7139129638672+325.545166015625j),(-469.57537841796875+55.98798751831055j)
1097,1728464324768618,842,2496,346,792,1392,965,0,(637.3017578125+140.0350341796875j),(-474.5662536621094+506.54290771484375j),(-204.39263916015625-649.2877807617188j),(276.0364990234375-353.0023193359375j),(112.71648406982422+367.2314453125j),(-468.146240234375-67.47637939453125j)
1098,1728464324769460,842,2416,114,1141,1540,777,0,(578.6180419921875+300.0151672363281j),(-592.67822265625+365.60418701171875j),(-25.07367706298828-678.91064453125j),(359.8861083984375-269.02374267578125j),(11.897417068481445+383.3738708496094j),(-434.7303466796875-186.3423309326172j)
1099,1728464324770302,842,2310,36,1464,1652,554,54,(480.04510498046875+439.22625732421875j),(-668.919677734375+199.26480102539062j),(154.5142059326172-661.4580688476562j),(418.98236083984375-166.24786376953125j),(-89.82527923583984+372.8292236328125j),(-370.0784606933594-292.0780029296875j)
1100,1728464324771144,842,1812,8,1801,1744,363,231,(339.26190185546875+545.6254272460938j),(-698.2235107421875+19.205673217773438j),(321.7753601074219-598.5723266601562j),(449.30364990234375-51.72191619873047j),(-185.83566284179688+336.18670654296875j),(-273.421142578125-375.6443786621094j)
1101,1728464324771986,842,1490,109,2098,1811,233,481,(183.14309692382812+613.946044921875j),(-679.6444091796875-162.22698974609375j),(468.2283630371094-494.22625732421875j),(448.0647888183594+66.51213073730469j),(-266.7564697265625+276.56890869140625j),(-159.03248596191406-431.50830078125j)
1102,1728464324772828,842,1206,47,2529,1753,85,772,(17.277263641357422+640.233154296875j),(-618.4830932617188-333.6717834472656j),(582.5233764648438-355.57403564453125j),(414.455810546875+179.91152954101562j),(-331.099609375+197.60733032226562j),(-41.32731246948242-457.80389404296875j)
1103,1728464324773670,842,874,242,2619,1631,5,1047,(-152.71868896484375+621.8972778320312j),(-509.43829345703125-481.9460144042969j),(656.3135986328125-192.25863647460938j),(352.7629089355469+280.7806701660156j),(-371.80743408203125+104.95266723632812j),(81.54752349853516-452.1028747558594j)
1104,1728464324774520,850,569,500,2672,1425,0,1275,(-312.0557861328125+560.2203369140625j),(-364.646240234375-596.6539306640625j),(684.1129150390625-15.733282089233398j),(265.85784912109375+361.92193603515625j),(-386.50335693359375+5.091732978820801j),(198.35748291015625-414.901611328125j)
1105,1728464324775362,842,290,803,2639,1206,0,1451,(-449.31622314453125+459.5888671875j),(-194.737060546875-669.8812255859375j),(664.3511962890625+161.72406005859375j),(160.87283325195312+417.7948913574219j),(-374.65142822265625-95.11619567871094j),(300.7539367675781-348.95098876953125j)
1106,1728464324776204,842,85,1122,2555,952,33,1610,(-555.7738037109375+326.8822937011719j),(-11.664782524108887-696.6376342773438j),(599.53466796875+328.07391357421875j),(44.52116012573242+444.4624938964844j),(-337.267578125-188.84210205078125j),(382.9542236328125-258.64837646484375j)
1107,1728464324777046,842,0,1433,2337,704,133,1729,(-623.2909545898438+171.40313720703125j),(172.8189697265625-674.9056396484375j),(493.2283630371094+471.8072204589844j),(-74.88875579833984+440.0750427246094j),(-275.6518859863281-269.36444091796875j),(438.53887939453125-150.266357421875j)
1108,1728464324777888,842,0,1742,1934,490,314,1786,(-646.4152221679688+4.24315071105957j),(344.90899658203125-606.295654296875j),(346.7428894042969+581.3602905273438j),(-188.7321014404297+405.02862548828125j),(-191.75326538085938-330.2467041015625j),(463.05126953125-31.492956161499023j)
1109,1728464324778731,843,49,2008,1609,320,511,1796,(-625.4873657226562-163.2060089111328j),(492.29095458984375-495.77447509765625j),(181.48252868652344+650.49658203125j),(-289.1426696777344+341.8409118652344j),(-95.27787780761719-367.42620849609375j),(455.46441650390625+89.43740844726562j)
1110,1728464324779573,842,92,2560,1270,153,718,1742,(-563.9057006835938-320.0613708496094j),(606.0862426757812-350.86322021484375j),(4.281464576721191+674.5908203125j),(-369.7373962402344+254.82891845703125j),(5.882823467254639-378.811279296875j),(416.59552001953125+204.21885681152344j)
1111,1728464324780416,843,159,2816,890,107,933,1672,(-462.01409912109375-455.148193359375j),(679.30322265625-181.2215576171875j),(-173.96286010742188+651.7745361328125j),(-424.5826416015625+150.0517578125j),(104.49063110351562-364.1761169433594j),(348.6994323730469+304.85662841796875j)
1112,1728464324781258,842,452,2912,605,21,1105,1472,(-317.92559814453125-556.3919677734375j),(704.6297607421875+1.1906030178070068j),(-338.8599853515625+583.9694213867188j),(-452.5738220214844+34.078216552734375j),(195.91036987304688-324.5288391113281j),(254.01113891601562+383.67291259765625j)
1113,1728464324782100,842,736,2819,334,32,1262,1216,(-153.38821411132812-617.11962890625j),(680.0301513671875+183.44613647460938j),(-481.03179931640625+475.67755126953125j),(-446.65704345703125-84.4010238647461j),(274.6780090332031-262.3772277832031j),(141.50616455078125+435.1238708496094j)
1114,1728464324782942,842,1126,2600,69,0,1386,944,(20.696731567382812-633.3436279296875j),(607.447509765625+352.6824951171875j),(-591.4581909179688+333.9769287109375j),(-410.880859375-197.4735565185547j),(333.70977783203125-182.2156219482422j),(20.604875564575195+455.99444580078125j)
1115,1728464324783784,842,1451,2162,14,117,1464,682,(187.6156005859375-605.4140625j),(492.24853515625+497.0213623046875j),(-658.991943359375+169.18197631835938j),(-345.44854736328125-297.0023193359375j),(370.1839599609375-89.4530029296875j),(-100.89430236816406+445.0456237792969j)
1116,1728464324784627,843,1742,1813,5,320,1507,453,(340.6925048828125-535.4824829101562j),(341.00115966796875+605.9254150390625j),(-680.526123046875-7.196352958679199j),(-254.835693359375-375.762451171875j),(381.3663330078125+9.578238487243652j),(-215.218505859375+403.0775146484375j)
1117,1728464324785469,842,2016,1511,0,551,1477,267,(470.9367370605469-428.1851501464844j),(169.4175567626953+672.6954345703125j),(-655.6763916015625-183.13818359375j),(-146.64407348632812-428.31109619140625j),(366.134033203125+108.02144622802734j),(-314.3020935058594+333.07958984375j)
1118,1728464324786311,842,2393,1199,90,800,1421,109,(568.2479858398438-291.0283203125j),(-13.198383331298828+692.8890380859375j),(-585.9351806640625-346.5994567871094j),(-27.974952697753906-450.9161376953125j),(325.49908447265625+199.0492401123047j),(-391.69146728515625+239.87594604492188j)
1119,1728464324787153,842,2482,874,296,1042,1299,26,(625.134765625-133.79031372070312j),(-196.14646911621094+664.7742309570312j),(-474.21075439453125-485.89056396484375j),(92.54148864746094-442.02630615234375j),(261.72308349609375+276.1994323730469j),(-441.63677978515625+130.0016326904297j)
1120,1728464324788026,873,2519,549,583,1258,1120,0,(639.0247802734375+32.71623611450195j),(-364.8194274902344+590.4718627929688j),(-329.31640625-591.27099609375j),(206.2480926513672-402.3553161621094j),(179.26681518554688+333.9770812988281j),(-461.0804138183594+11.041467666625977j)
1121,1728464324788868,842,2478,267,899,1439,917,0,(607.9779663085938+196.77755737304688j),(-508.11163330078125+475.1533203125j),(-162.12503051757812-655.5700073242188j),(305.0479431152344-334.8115234375j),(84.86746215820312+368.49871826171875j),(-448.22723388671875-108.67115783691406j)
1122,1728464324789710,842,2386,69,1216,1583,725,40,(535.084228515625+347.094482421875j),(-616.0709838867188+326.8392333984375j),(15.850296020507812-674.448974609375j),(383.24114990234375-243.9332275390625j),(-15.169673919677734+377.4331970214844j),(-404.8280944824219-220.97802734375j)
1123,1728464324790552,842,2043,23,1497,1691,490,264,(425.8498229980469+473.44476318359375j),(-681.24072265625+155.83096313476562j),(194.57933044433594-646.1035766601562j),(434.2025146484375-136.1940460205078j),(-114.83499145507812+359.9776611328125j),(-333.39788818359375-318.10699462890625j)
1124,1728464324791394,842,1729,2,1863,1761,357,426,(283.8524475097656+566.2041015625j),(-699.28564453125-26.044952392578125j),(366.6032409667969-570.66455078125j),(455.502197265625-18.947002410888672j),(-204.45339965820312+317.8931884765625j),(-241.3153533935547-393.98883056640625j)
1125,1728464324792236,842,1472,10,2156,1783,187,496,(124.5369873046875+619.5472412109375j),(-667.3487548828125-205.77928161621094j),(509.457275390625-454.28680419921875j),(444.9656982421875+99.6128158569336j),(-280.97100830078125+253.8212890625j),(-131.1209259033203-443.02099609375j)
1126,1728464324793078,842,1114,87,2569,1728,64,846,(-45.69169616699219+629.159423828125j),(-591.551025390625-371.5440368652344j),(617.9266357421875-304.73931884765625j),(404.30389404296875+211.45968627929688j),(-338.7410888671875+172.00973510742188j),(-4.545133590698242-459.866943359375j)
1127,1728464324793920,842,785,309,2629,1576,0,1111,(-210.43447875976562+594.968017578125j),(-473.21942138671875-511.4494323730469j),(676.4681396484375-134.23028564453125j),(334.7513427734375+308.61553955078125j),(-372.40234375+78.29267883300781j),(117.36885070800781-444.640380859375j)
1128,1728464324794762,842,497,576,2659,1369,0,1319,(-360.3521728515625+519.400146484375j),(-322.1462097167969-615.8102416992188j),(689.0850830078125+45.67435836791992j),(241.41680908203125+384.18975830078125j),(-379.9766845703125-20.759902954101562j),(231.02682495117188-398.42218017578125j)
1129,1728464324795604,842,220,879,2631,1138,0,1504,(-485.5628662109375+407.6164245605469j),(-148.48568725585938-677.3203125j),(653.9446411132812+222.50950622558594j),(131.34030151367188+432.9350280761719j),(-361.57574462890625-118.37615966796875j),(328.20587158203125-324.53448486328125j)
1130,1728464324796446,842,39,1216,2531,881,64,1652,(-576.3679809570312+267.5582580566406j),(35.378719329833984-691.7338256835938j),(573.066162109375+383.91143798828125j),(12.478837966918945+451.5509948730469j),(-318.6173400878906-207.92527770996094j),(402.9500732421875-228.01268005371094j)
1131,1728464324797288,842,0,1515,2149,642,252,1743,(-627.467041015625+108.86740112304688j),(216.6280975341797-658.0902709960938j),(453.2501220703125+518.90234375j),(-107.35192108154297+438.71514892578125j),(-253.02001953125-283.05657958984375j),(449.4010925292969-115.63943481445312j)
1132,1728464324798130,842,0,1797,1860,440,425,1787,(-634.2635498046875-57.24258041381836j),(386.77716064453125-577.6685791015625j),(300.04296875+617.603515625j),(-219.45541381835938+395.388427734375j),(-171.54058837890625-339.00592041015625j),(464.7019958496094+4.797763347625732j)
1133,1728464324798972,842,0,2064,1543,271,581,1791,(-597.8360595703125-219.4515838623047j),(528.62353515625-456.4022216796875j),(126.51045989990234+673.28857421875j),(-316.36431884765625+324.5666809082031j),(-77.83357238769531-371.8201904296875j),(447.786865234375+124.95114135742188j)
1134,1728464324799815,843,88,2636,1183,116,737,1721,(-520.6671142578125-366.7052917480469j),(641.575439453125-300.5927429199219j),(-55.80314636230469+682.0872192382812j),(-391.0776062011719+231.2272186279297j),(23.829730987548828-378.55145263671875j),(399.2635192871094+236.34127807617188j)
1135,1728464324800657,842,421,2855,837,17,951,1575,(-406.6068115234375-488.59124755859375j),(698.80126953125-123.95326232910156j),(-234.26231384277344+643.3782348632812j),(-437.960205078125+122.03294372558594j),(127.11160278320312-357.8458251953125j),(322.919677734375+331.2045593261719j)
1136,1728464324801490,833,693,2905,541,4,1141,1359,(-267.34173583984375-577.4608764648438j),(707.3131713867188+61.198143005371094j),(-396.8634948730469+559.7349243164062j),(-455.30572509765625+4.3389997482299805j),(215.96115112304688-312.6026611328125j),(223.53811645507812+402.7850341796875j)
1137,1728464324802332,842,963,2771,242,0,1274,1130,(-109.21711730957031-627.0961303710938j),(666.608154296875+241.97409057617188j),(-533.3623657226562+436.56622314453125j),(-441.0755310058594-113.69377136230469j),(289.38922119140625-246.08847045898438j),(109.45921325683594+446.32330322265625j)
