seq_no=156,	ch0= 725, ch1=  97, ch2=1612, ch3= 523, ch4= 320, ch5=1542, ts=1712137608662950,	delta=836,
seq_no=157,	ch0= 430, ch1= 241, ch2=1747, ch3= 367, ch4= 514, ch5=1633, ts=1712137608663790,	delta=840,
seq_no=158,	ch0= 288, ch1= 528, ch2=1730, ch3= 208, ch4= 766, ch5=1508, ts=1712137608664814,	delta=1024,
seq_no=159,	ch0= 130, ch1= 632, ch2=1699, ch3=  53, ch4= 938, ch5=1434, ts=1712137608665527,	delta=713,
seq_no=160,	ch0=  17, ch1= 847, ch2=1592, ch3=   2, ch4=1112, ch5=1248, ts=1712137608666326,	delta=799,
seq_no=161,	ch0=   0, ch1=1060, ch2=1426, ch3=   5, ch4=1272, ch5=1036, ts=1712137608667161,	delta=835,
seq_no=162,	ch0=   0, ch1=1248, ch2=1228, ch3=   4, ch4=1401, ch5= 820, ts=1712137608668048,	delta=887,
seq_no=163,	ch0=   0, ch1=1409, ch2=1004, ch3= 133, ch4=1509, ch5= 631, ts=1712137608668850,	delta=802,
seq_no=164,	ch0=  96, ch1=1519, ch2= 750, ch3= 332, ch4=1562, ch5= 484, ts=1712137608669827,	delta=977,
seq_no=165,	ch0= 184, ch1=1592, ch2= 541, ch3= 618, ch4=1558, ch5= 266, ts=1712137608670561,	delta=734,
seq_no=166,	ch0= 428, ch1=1606, ch2= 323, ch3= 786, ch4=1487, ch5=  93, ts=1712137608671386,	delta=825,
seq_no=167,	ch0= 563, ch1=1559, ch2= 165, ch3=1056, ch4=1345, ch5=   9, ts=1712137608672223,	delta=837,
seq_no=168,	ch0= 854, ch1=1466, ch2=   0, ch3=1178, ch4=1200, ch5=  39, ts=1712137608673060,	delta=837,
seq_no=169,	ch0=1114, ch1=1294, ch2=  39, ch3=1376, ch4= 949, ch5=   0, ts=1712137608673920,	delta=860,
seq_no=170,	ch0=1207, ch1=1129, ch2=   0, ch3=1512, ch4= 751, ch5=  93, ts=1712137608674750,	delta=830,
seq_no=171,	ch0=1364, ch1= 918, ch2=   0, ch3=1640, ch4= 580, ch5= 157, ts=1712137608675585,	delta=835,
