seq=103,	ch0= 698,	ch1= 435,	ch2=   0,	ch3= 154,	ch4= 175,	ch5=  38,	time=1728462578550871,	delta=841,	
seq=104,	ch0= 762,	ch1= 334,	ch2=  54,	ch3= 197,	ch4= 146,	ch5=   0,	time=1728462578551712,	delta=841,	
seq=105,	ch0= 786,	ch1= 231,	ch2= 148,	ch3= 210,	ch4= 107,	ch5=   0,	time=1728462578552553,	delta=841,	
seq=106,	ch0= 786,	ch1= 133,	ch2= 242,	ch3= 242,	ch4=  68,	ch5=   0,	time=1728462578553395,	delta=842,	
seq=107,	ch0= 741,	ch1=  64,	ch2= 352,	ch3= 254,	ch4=  53,	ch5=  23,	time=1728462578554237,	delta=842,	
seq=108,	ch0= 689,	ch1=   0,	ch2= 473,	ch3= 256,	ch4=  23,	ch5=  54,	time=1728462578555078,	delta=841,	
seq=109,	ch0= 618,	ch1=   0,	ch2= 578,	ch3= 254,	ch4=   0,	ch5=  79,	time=1728462578555919,	delta=841,	
seq=110,	ch0= 530,	ch1=   0,	ch2= 690,	ch3= 239,	ch4=   0,	ch5= 122,	time=1728462578556760,	delta=841,	
seq=111,	ch0= 431,	ch1=   5,	ch2= 767,	ch3= 224,	ch4=   0,	ch5= 169,	time=1728462578557601,	delta=841,	
seq=112,	ch0= 361,	ch1=  64,	ch2= 824,	ch3= 226,	ch4=   0,	ch5= 197,	time=1728462578558447,	delta=846,	
seq=113,	ch0= 130,	ch1= 142,	ch2= 882,	ch3= 194,	ch4=   0,	ch5= 258,	time=1728462578559288,	delta=841,	
seq=114,	ch0=  66,	ch1= 253,	ch2= 844,	ch3=  53,	ch4=   0,	ch5= 257,	time=1728462578560130,	delta=842,	
seq=115,	ch0=  18,	ch1= 362,	ch2= 822,	ch3=  76,	ch4=  20,	ch5= 251,	time=1728462578560971,	delta=841,	
seq=116,	ch0=   0,	ch1= 463,	ch2= 747,	ch3=  49,	ch4=  64,	ch5= 251,	time=1728462578561812,	delta=841,	
seq=117,	ch0=   0,	ch1= 561,	ch2= 661,	ch3=  17,	ch4=  78,	ch5= 249,	time=1728462578562653,	delta=841,	
seq=118,	ch0=   0,	ch1= 652,	ch2= 564,	ch3=   9,	ch4= 109,	ch5= 227,	time=1728462578563494,	delta=841,	
seq=119,	ch0=   5,	ch1= 729,	ch2= 452,	ch3=   0,	ch4= 136,	ch5= 206,	time=1728462578564335,	delta=841,	
seq=120,	ch0=  65,	ch1= 781,	ch2= 337,	ch3=   0,	ch4= 165,	ch5= 177,	time=1728462578565176,	delta=841,	
seq=121,	ch0= 144,	ch1= 810,	ch2= 198,	ch3=   0,	ch4= 189,	ch5= 133,	time=1728462578566017,	delta=841,	
seq=122,	ch0= 244,	ch1= 850,	ch2= 106,	ch3=   2,	ch4= 206,	ch5=  93,	time=1728462578566858,	delta=841,	
seq=123,	ch0= 346,	ch1= 791,	ch2=  40,	ch3=  21,	ch4= 208,	ch5=  64,	time=1728462578567700,	delta=842,	
seq=124,	ch0= 450,	ch1= 619,	ch2=   0,	ch3=  64,	ch4= 256,	ch5=  13,	time=1728462578568541,	delta=841,	
seq=125,	ch0= 559,	ch1= 569,	ch2=   0,	ch3= 114,	ch4= 235,	ch5=   0,	time=1728462578569382,	delta=841,	
seq=126,	ch0= 665,	ch1= 490,	ch2=   0,	ch3= 128,	ch4= 110,	ch5=   0,	time=1728462578570223,	delta=841,	
seq=127,	ch0= 719,	ch1= 418,	ch2=  23,	ch3= 165,	ch4= 162,	ch5=   0,	time=1728462578571064,	delta=841,	
seq=128,	ch0= 761,	ch1= 306,	ch2=  79,	ch3= 194,	ch4= 132,	ch5=   0,	time=1728462578571920,	delta=856,	
seq=129,	ch0= 786,	ch1= 210,	ch2= 165,	ch3= 224,	ch4= 101,	ch5=   0,	time=1728462578572761,	delta=841,	
seq=130,	ch0= 782,	ch1= 107,	ch2= 266,	ch3= 245,	ch4=  85,	ch5=   4,	time=1728462578573602,	delta=841,	
seq=131,	ch0= 737,	ch1=  37,	ch2= 383,	ch3= 250,	ch4=  41,	ch5=  34,	time=1728462578574444,	delta=842,	
seq=132,	ch0= 677,	ch1=   2,	ch2= 506,	ch3= 247,	ch4=  13,	ch5=  66,	time=1728462578575285,	delta=841,	
seq=133,	ch0= 589,	ch1=   0,	ch2= 612,	ch3= 240,	ch4=   0,	ch5=  93,	time=1728462578576126,	delta=841,	
seq=134,	ch0= 503,	ch1=   0,	ch2= 709,	ch3= 226,	ch4=   0,	ch5= 133,	time=1728462578576967,	delta=841,	
seq=135,	ch0= 398,	ch1=  20,	ch2= 780,	ch3= 202,	ch4=   0,	ch5= 162,	time=1728462578577808,	delta=841,	
seq=136,	ch0= 274,	ch1= 121,	ch2= 903,	ch3= 170,	ch4=   0,	ch5= 197,	time=1728462578578649,	delta=841,	
seq=137,	ch0= 170,	ch1= 157,	ch2= 775,	ch3= 132,	ch4=   0,	ch5= 314,	time=1728462578579491,	delta=842,	
seq=138,	ch0= 165,	ch1= 290,	ch2= 802,	ch3=  98,	ch4=  18,	ch5= 158,	time=1728462578580332,	delta=841,	
seq=139,	ch0=  22,	ch1= 369,	ch2= 791,	ch3=  76,	ch4=  33,	ch5= 258,	time=1728462578581174,	delta=842,	
seq=140,	ch0=   0,	ch1= 486,	ch2= 723,	ch3=  33,	ch4=  64,	ch5= 261,	time=1728462578582015,	delta=841,	
seq=141,	ch0=   0,	ch1= 586,	ch2= 642,	ch3=   5,	ch4=  79,	ch5= 249,	time=1728462578582856,	delta=841,	
seq=142,	ch0=   0,	ch1= 676,	ch2= 542,	ch3=   0,	ch4= 112,	ch5= 232,	time=1728462578583697,	delta=841,	
seq=143,	ch0=  16,	ch1= 748,	ch2= 418,	ch3=   0,	ch4= 136,	ch5= 206,	time=1728462578584538,	delta=841,	
seq=144,	ch0=  85,	ch1= 766,	ch2= 298,	ch3=   0,	ch4= 148,	ch5= 159,	time=1728462578585388,	delta=850,	
seq=145,	ch0= 256,	ch1= 801,	ch2= 196,	ch3=   0,	ch4= 177,	ch5= 125,	time=1728462578586229,	delta=841,	
seq=146,	ch0= 320,	ch1= 791,	ch2= 106,	ch3=  10,	ch4= 192,	ch5=  89,	time=1728462578587071,	delta=842,	
seq=147,	ch0= 343,	ch1= 747,	ch2=  30,	ch3=  78,	ch4= 202,	ch5=  58,	time=1728462578587913,	delta=842,	
seq=148,	ch0= 426,	ch1= 666,	ch2=   0,	ch3=   0,	ch4= 199,	ch5=  20,	time=1728462578588755,	delta=842,	
seq=149,	ch0= 533,	ch1= 587,	ch2=   0,	ch3=  56,	ch4= 186,	ch5=   1,	time=1728462578589596,	delta=841,	
seq=150,	ch0= 634,	ch1= 525,	ch2=   0,	ch3= 106,	ch4= 169,	ch5=   5,	time=1728462578590437,	delta=841,	
seq=151,	ch0= 736,	ch1= 407,	ch2=  22,	ch3= 165,	ch4= 157,	ch5=   0,	time=1728462578591278,	delta=841,	
seq=152,	ch0= 778,	ch1= 285,	ch2=  99,	ch3= 197,	ch4= 124,	ch5=   0,	time=1728462578592119,	delta=841,	
seq=153,	ch0= 799,	ch1= 186,	ch2= 192,	ch3= 224,	ch4= 103,	ch5=   0,	time=1728462578592960,	delta=841,	
seq=154,	ch0= 773,	ch1=  86,	ch2= 293,	ch3= 245,	ch4=  58,	ch5=   2,	time=1728462578593801,	delta=841,	
seq=155,	ch0= 725,	ch1=  27,	ch2= 418,	ch3= 253,	ch4=  37,	ch5=  26,	time=1728462578594643,	delta=842,	
seq=156,	ch0= 663,	ch1=   0,	ch2= 533,	ch3= 254,	ch4=  14,	ch5=  64,	time=1728462578595484,	delta=841,	
seq=157,	ch0= 562,	ch1=   0,	ch2= 629,	ch3= 250,	ch4=   0,	ch5=  98,	time=1728462578596325,	delta=841,	
seq=158,	ch0= 458,	ch1=   0,	ch2= 722,	ch3= 235,	ch4=   0,	ch5= 145,	time=1728462578597166,	delta=841,	
