seq=118,	ch0=2052,	ch1=1466,	ch2=   5,	ch3=  82,	ch4= 436,	ch5= 113,	time=1728464082071778,	delta=842,	
seq=119,	ch0=2412,	ch1=1130,	ch2= 132,	ch3= 142,	ch4= 433,	ch5=  66,	time=1728464082072620,	delta=842,	
seq=120,	ch0=2499,	ch1= 800,	ch2= 358,	ch3= 250,	ch4= 414,	ch5=  18,	time=1728464082073462,	delta=842,	
seq=121,	ch0=2502,	ch1= 530,	ch2= 648,	ch3= 320,	ch4= 388,	ch5=   0,	time=1728464082074304,	delta=842,	
seq=122,	ch0=2470,	ch1= 226,	ch2= 954,	ch3= 394,	ch4= 330,	ch5=   0,	time=1728464082075146,	delta=842,	
seq=123,	ch0=2344,	ch1=  42,	ch2=1308,	ch3= 449,	ch4= 261,	ch5=   0,	time=1728464082075988,	delta=842,	
seq=124,	ch0=1945,	ch1=   5,	ch2=1662,	ch3= 493,	ch4= 177,	ch5=   0,	time=1728464082076829,	delta=841,	
seq=125,	ch0=1668,	ch1=   8,	ch2=1971,	ch3= 523,	ch4= 117,	ch5=  50,	time=1728464082077671,	delta=842,	
seq=126,	ch0=1368,	ch1=   0,	ch2=2259,	ch3= 549,	ch4=  71,	ch5= 100,	time=1728464082078513,	delta=842,	
seq=127,	ch0=1047,	ch1= 138,	ch2=2573,	ch3= 534,	ch4=  20,	ch5= 177,	time=1728464082079355,	delta=842,	
seq=128,	ch0= 730,	ch1= 369,	ch2=2656,	ch3= 514,	ch4=   1,	ch5= 263,	time=1728464082080214,	delta=859,	
seq=129,	ch0= 433,	ch1= 645,	ch2=2631,	ch3= 471,	ch4=   0,	ch5= 417,	time=1728464082081056,	delta=842,	
seq=130,	ch0= 192,	ch1= 961,	ch2=2596,	ch3= 405,	ch4=   0,	ch5= 466,	time=1728464082081898,	delta=842,	
seq=131,	ch0=   0,	ch1=1295,	ch2=2496,	ch3= 338,	ch4=   0,	ch5= 490,	time=1728464082082740,	delta=842,	
seq=132,	ch0=   0,	ch1=1592,	ch2=2079,	ch3= 258,	ch4=   5,	ch5= 528,	time=1728464082083582,	delta=842,	
seq=133,	ch0=   4,	ch1=1898,	ch2=1738,	ch3= 166,	ch4=  69,	ch5= 578,	time=1728464082084424,	delta=842,	
seq=134,	ch0=  34,	ch1=2387,	ch2=1430,	ch3= 107,	ch4=  90,	ch5= 450,	time=1728464082085266,	delta=842,	
seq=135,	ch0= 178,	ch1=2697,	ch2=1089,	ch3=  46,	ch4= 152,	ch5= 474,	time=1728464082086108,	delta=842,	
seq=136,	ch0= 368,	ch1=2902,	ch2= 757,	ch3=  18,	ch4= 245,	ch5= 525,	time=1728464082086950,	delta=842,	
seq=137,	ch0= 651,	ch1=2918,	ch2= 456,	ch3=   0,	ch4= 296,	ch5= 466,	time=1728464082087792,	delta=842,	
seq=138,	ch0= 954,	ch1=2753,	ch2= 188,	ch3=   0,	ch4= 348,	ch5= 405,	time=1728464082088634,	delta=842,	
seq=139,	ch0=1290,	ch1=2456,	ch2=   0,	ch3=   0,	ch4= 391,	ch5= 324,	time=1728464082089476,	delta=842,	
seq=140,	ch0=1602,	ch1=1960,	ch2=   4,	ch3=   0,	ch4= 417,	ch5= 237,	time=1728464082090317,	delta=841,	
seq=141,	ch0=1875,	ch1=1679,	ch2=   4,	ch3=  49,	ch4= 434,	ch5= 148,	time=1728464082091159,	delta=842,	
seq=142,	ch0=2318,	ch1=1370,	ch2=   5,	ch3= 102,	ch4= 444,	ch5=  93,	time=1728464082092001,	delta=842,	
seq=143,	ch0=2452,	ch1=1037,	ch2= 181,	ch3= 181,	ch4= 426,	ch5=  53,	time=1728464082092843,	delta=842,	
seq=144,	ch0=2525,	ch1= 704,	ch2= 427,	ch3= 277,	ch4= 393,	ch5=   0,	time=1728464082093686,	delta=843,	
seq=145,	ch0=2633,	ch1= 373,	ch2= 725,	ch3= 367,	ch4= 330,	ch5=   0,	time=1728464082094528,	delta=842,	
seq=146,	ch0=2530,	ch1= 161,	ch2=1123,	ch3= 422,	ch4= 281,	ch5=   0,	time=1728464082095370,	delta=842,	
seq=147,	ch0=2368,	ch1=  13,	ch2=1423,	ch3= 457,	ch4= 217,	ch5=   0,	time=1728464082096212,	delta=842,	
seq=148,	ch0=1877,	ch1=   4,	ch2=1745,	ch3= 499,	ch4= 165,	ch5=   8,	time=1728464082097054,	delta=842,	
seq=149,	ch0=1594,	ch1=   4,	ch2=2056,	ch3= 530,	ch4=  98,	ch5=  50,	time=1728464082097896,	delta=842,	
seq=150,	ch0=1289,	ch1=  10,	ch2=2490,	ch3= 554,	ch4=  52,	ch5= 111,	time=1728464082098737,	delta=841,	
seq=151,	ch0= 960,	ch1= 189,	ch2=2615,	ch3= 532,	ch4=  20,	ch5= 204,	time=1728464082099579,	delta=842,	
seq=152,	ch0= 650,	ch1= 440,	ch2=2656,	ch3= 498,	ch4=   0,	ch5= 305,	time=1728464082100421,	delta=842,	
seq=153,	ch0= 355,	ch1= 725,	ch2=2658,	ch3= 482,	ch4=   0,	ch5= 368,	time=1728464082101263,	delta=842,	
seq=154,	ch0= 114,	ch1=1044,	ch2=2589,	ch3= 393,	ch4=   0,	ch5= 429,	time=1728464082102105,	delta=842,	
seq=155,	ch0=   0,	ch1=1367,	ch2=2468,	ch3= 306,	ch4=   0,	ch5= 471,	time=1728464082102947,	delta=842,	
seq=156,	ch0=   0,	ch1=1660,	ch2=2006,	ch3= 203,	ch4=  10,	ch5= 518,	time=1728464082103789,	delta=842,	
seq=157,	ch0=   0,	ch1=1943,	ch2=1696,	ch3= 125,	ch4=  54,	ch5= 560,	time=1728464082104631,	delta=842,	
seq=158,	ch0=   0,	ch1=2476,	ch2=1376,	ch3=  64,	ch4= 106,	ch5= 586,	time=1728464082105473,	delta=842,	
seq=159,	ch0= 181,	ch1=2771,	ch2=1012,	ch3=  41,	ch4= 194,	ch5= 538,	time=1728464082106315,	delta=842,	
seq=160,	ch0= 441,	ch1=2925,	ch2= 683,	ch3=  13,	ch4= 264,	ch5= 498,	time=1728464082107169,	delta=854,	
seq=161,	ch0= 736,	ch1=2895,	ch2= 357,	ch3=   0,	ch4= 322,	ch5= 458,	time=1728464082108011,	delta=842,	
seq=162,	ch0=1053,	ch1=2694,	ch2= 117,	ch3=   0,	ch4= 366,	ch5= 388,	time=1728464082108853,	delta=842,	
seq=163,	ch0=1378,	ch1=2362,	ch2=   4,	ch3=   0,	ch4= 390,	ch5= 293,	time=1728464082109695,	delta=842,	
seq=164,	ch0=1660,	ch1=1889,	ch2=  10,	ch3=   8,	ch4= 421,	ch5= 207,	time=1728464082110537,	delta=842,	
seq=165,	ch0=1926,	ch1=1611,	ch2=   0,	ch3=  50,	ch4= 450,	ch5= 139,	time=1728464082111379,	delta=842,	
seq=166,	ch0=2356,	ch1=1289,	ch2=  26,	ch3= 109,	ch4= 436,	ch5=  79,	time=1728464082112221,	delta=842,	
