seq=132,	ch0= 133,	ch1= 793,	ch2= 245,	ch3=  16,	ch4= 122,	ch5=  10,	time=1728461646918205,	delta=841,	
seq=133,	ch0= 234,	ch1= 797,	ch2= 141,	ch3=  42,	ch4= 104,	ch5=   0,	time=1728461646919046,	delta=841,	
seq=134,	ch0= 330,	ch1= 786,	ch2=  64,	ch3=  71,	ch4=  98,	ch5=   0,	time=1728461646919887,	delta=841,	
seq=135,	ch0= 421,	ch1= 719,	ch2=   0,	ch3= 106,	ch4=  94,	ch5=   0,	time=1728461646920728,	delta=841,	
seq=136,	ch0= 505,	ch1= 650,	ch2=   0,	ch3=  75,	ch4=  77,	ch5=  10,	time=1728461646921569,	delta=841,	
seq=137,	ch0= 610,	ch1= 577,	ch2=   0,	ch3= 106,	ch4=  64,	ch5=   0,	time=1728461646922410,	delta=841,	
seq=138,	ch0= 689,	ch1= 468,	ch2=  74,	ch3= 133,	ch4=  58,	ch5=   0,	time=1728461646923251,	delta=841,	
seq=139,	ch0= 762,	ch1= 334,	ch2=  58,	ch3= 149,	ch4=  21,	ch5=   6,	time=1728461646924092,	delta=841,	
seq=140,	ch0= 789,	ch1= 234,	ch2= 138,	ch3= 157,	ch4=   1,	ch5=  29,	time=1728461646924933,	delta=841,	
seq=141,	ch0= 791,	ch1= 138,	ch2= 246,	ch3= 161,	ch4=   0,	ch5=  42,	time=1728461646925774,	delta=841,	
seq=142,	ch0= 764,	ch1=  58,	ch2= 357,	ch3= 149,	ch4=   0,	ch5=  68,	time=1728461646926615,	delta=841,	
seq=143,	ch0= 694,	ch1=   0,	ch2= 480,	ch3= 139,	ch4=   0,	ch5=  90,	time=1728461646927456,	delta=841,	
seq=144,	ch0= 589,	ch1=   0,	ch2= 581,	ch3= 160,	ch4=   0,	ch5= 105,	time=1728461646928294,	delta=838,	
seq=145,	ch0= 501,	ch1=   0,	ch2= 686,	ch3=  87,	ch4=   0,	ch5= 133,	time=1728461646929135,	delta=841,	
seq=146,	ch0= 413,	ch1=   6,	ch2= 765,	ch3=  64,	ch4=   0,	ch5= 142,	time=1728461646929976,	delta=841,	
seq=147,	ch0= 308,	ch1=  71,	ch2= 887,	ch3=  34,	ch4=   8,	ch5= 156,	time=1728461646930817,	delta=841,	
seq=148,	ch0= 193,	ch1= 133,	ch2= 779,	ch3=  18,	ch4=  30,	ch5= 217,	time=1728461646931658,	delta=841,	
seq=149,	ch0=  97,	ch1= 362,	ch2= 810,	ch3=  33,	ch4=  45,	ch5=  94,	time=1728461646932499,	delta=841,	
seq=150,	ch0=  40,	ch1= 306,	ch2= 800,	ch3=   0,	ch4=  74,	ch5= 132,	time=1728461646933340,	delta=841,	
seq=151,	ch0=   0,	ch1= 465,	ch2= 748,	ch3=   0,	ch4=  75,	ch5= 132,	time=1728461646934181,	delta=841,	
seq=152,	ch0=   0,	ch1= 568,	ch2= 658,	ch3=   0,	ch4= 100,	ch5= 110,	time=1728461646935022,	delta=841,	
seq=153,	ch0=   0,	ch1= 648,	ch2= 548,	ch3=   0,	ch4= 106,	ch5=  84,	time=1728461646935863,	delta=841,	
seq=154,	ch0=   5,	ch1= 729,	ch2= 435,	ch3=   0,	ch4= 122,	ch5=  58,	time=1728461646936704,	delta=841,	
seq=155,	ch0=  74,	ch1= 794,	ch2= 329,	ch3=   5,	ch4= 125,	ch5=  47,	time=1728461646937546,	delta=842,	
seq=156,	ch0= 144,	ch1= 813,	ch2= 233,	ch3=  20,	ch4= 121,	ch5=  21,	time=1728461646938388,	delta=842,	
seq=157,	ch0= 261,	ch1= 809,	ch2= 122,	ch3=  57,	ch4= 119,	ch5=   0,	time=1728461646939230,	delta=842,	
seq=158,	ch0= 346,	ch1= 783,	ch2=  42,	ch3=  79,	ch4= 107,	ch5=   0,	time=1728461646940071,	delta=841,	
seq=159,	ch0= 442,	ch1= 628,	ch2=   0,	ch3=  98,	ch4= 151,	ch5=   0,	time=1728461646940912,	delta=841,	
seq=160,	ch0= 590,	ch1= 584,	ch2=   0,	ch3= 114,	ch4=  10,	ch5=   0,	time=1728461646941760,	delta=848,	
seq=161,	ch0= 761,	ch1= 506,	ch2=  49,	ch3= 133,	ch4=  13,	ch5=   0,	time=1728461646942601,	delta=841,	
seq=162,	ch0= 712,	ch1= 418,	ch2=  17,	ch3= 148,	ch4=  36,	ch5=   0,	time=1728461646943442,	delta=841,	
seq=163,	ch0= 772,	ch1= 314,	ch2=  82,	ch3= 169,	ch4=  21,	ch5=  18,	time=1728461646944283,	delta=841,	
seq=164,	ch0= 789,	ch1= 205,	ch2= 171,	ch3= 157,	ch4=   0,	ch5=  23,	time=1728461646945125,	delta=842,	
seq=165,	ch0= 783,	ch1= 113,	ch2= 277,	ch3= 157,	ch4=   0,	ch5=  47,	time=1728461646945966,	delta=841,	
seq=166,	ch0= 743,	ch1=  43,	ch2= 386,	ch3= 146,	ch4=   0,	ch5=  81,	time=1728461646946807,	delta=841,	
seq=167,	ch0= 674,	ch1=  79,	ch2= 496,	ch3= 138,	ch4=   0,	ch5=  84,	time=1728461646947648,	delta=841,	
seq=168,	ch0= 598,	ch1=   0,	ch2= 608,	ch3= 113,	ch4=  34,	ch5= 104,	time=1728461646948489,	delta=841,	
seq=169,	ch0= 503,	ch1=   0,	ch2= 704,	ch3=  90,	ch4=   0,	ch5= 128,	time=1728461646949330,	delta=841,	
seq=170,	ch0= 426,	ch1=  13,	ch2= 778,	ch3=  64,	ch4=   0,	ch5= 146,	time=1728461646950171,	delta=841,	
seq=171,	ch0= 192,	ch1=  85,	ch2= 854,	ch3=  93,	ch4=   0,	ch5= 170,	time=1728461646951012,	delta=841,	
seq=172,	ch0= 157,	ch1= 178,	ch2= 842,	ch3=   0,	ch4=  16,	ch5= 171,	time=1728461646951853,	delta=841,	
seq=173,	ch0=  79,	ch1= 247,	ch2= 933,	ch3=   2,	ch4=  68,	ch5= 149,	time=1728461646952694,	delta=841,	
seq=174,	ch0=  29,	ch1= 381,	ch2= 793,	ch3=   0,	ch4=  57,	ch5= 133,	time=1728461646953535,	delta=841,	
seq=175,	ch0=   0,	ch1= 494,	ch2= 730,	ch3=   0,	ch4=  74,	ch5= 126,	time=1728461646954376,	delta=841,	
seq=176,	ch0=   0,	ch1= 591,	ch2= 634,	ch3=   0,	ch4=  97,	ch5= 104,	time=1728461646955235,	delta=859,	
seq=177,	ch0=   0,	ch1= 674,	ch2= 535,	ch3=   0,	ch4= 103,	ch5=  84,	time=1728461646956076,	delta=841,	
