seq=134,	ch0= 750,	ch1=  55,	ch2= 357,	ch3=  17,	ch4=  30,	ch5=  21,	time=1728461175052378,	delta=841,	
seq=135,	ch0= 696,	ch1=   0,	ch2= 488,	ch3=  21,	ch4=  23,	ch5=  23,	time=1728461175053219,	delta=841,	
seq=136,	ch0= 616,	ch1=   0,	ch2= 583,	ch3=  31,	ch4=  26,	ch5=  18,	time=1728461175054060,	delta=841,	
seq=137,	ch0= 514,	ch1=   0,	ch2= 758,	ch3=  25,	ch4=  21,	ch5=  26,	time=1728461175054901,	delta=841,	
seq=138,	ch0= 401,	ch1=   9,	ch2= 754,	ch3=  26,	ch4=  21,	ch5=  66,	time=1728461175055742,	delta=841,	
seq=139,	ch0= 298,	ch1= 109,	ch2= 824,	ch3=  21,	ch4=  25,	ch5=   8,	time=1728461175056583,	delta=841,	
seq=140,	ch0= 196,	ch1= 142,	ch2= 858,	ch3=  26,	ch4=  18,	ch5=  17,	time=1728461175057424,	delta=841,	
seq=141,	ch0=   0,	ch1= 225,	ch2= 837,	ch3=  93,	ch4=   5,	ch5=  47,	time=1728461175058265,	delta=841,	
seq=142,	ch0=   0,	ch1= 369,	ch2= 815,	ch3=   0,	ch4=  18,	ch5=  47,	time=1728461175059106,	delta=841,	
seq=143,	ch0=   0,	ch1= 465,	ch2= 851,	ch3=  29,	ch4=  64,	ch5=  41,	time=1728461175059947,	delta=841,	
seq=144,	ch0=   0,	ch1= 576,	ch2= 661,	ch3=  26,	ch4=  21,	ch5=   8,	time=1728461175060810,	delta=863,	
seq=145,	ch0=   0,	ch1= 661,	ch2= 562,	ch3=  21,	ch4=  21,	ch5=  17,	time=1728461175061651,	delta=841,	
seq=146,	ch0=   8,	ch1= 736,	ch2= 452,	ch3=  23,	ch4=  10,	ch5=  14,	time=1728461175062492,	delta=841,	
seq=147,	ch0=  72,	ch1= 788,	ch2= 320,	ch3=  23,	ch4=  26,	ch5=  16,	time=1728461175063333,	delta=841,	
seq=148,	ch0= 154,	ch1= 820,	ch2= 218,	ch3=  18,	ch4=  13,	ch5=  21,	time=1728461175064174,	delta=841,	
seq=149,	ch0= 242,	ch1= 804,	ch2= 120,	ch3=  18,	ch4=  26,	ch5=   8,	time=1728461175065015,	delta=841,	
seq=150,	ch0= 364,	ch1= 770,	ch2=  18,	ch3=  16,	ch4=  18,	ch5=  18,	time=1728461175065856,	delta=841,	
seq=151,	ch0= 469,	ch1= 709,	ch2=   0,	ch3=  29,	ch4=  25,	ch5=  11,	time=1728461175066697,	delta=841,	
seq=152,	ch0= 563,	ch1= 622,	ch2=   0,	ch3=  21,	ch4=  16,	ch5=   7,	time=1728461175067538,	delta=841,	
seq=153,	ch0= 637,	ch1= 498,	ch2=   0,	ch3=   5,	ch4=   0,	ch5=   5,	time=1728461175068379,	delta=841,	
seq=154,	ch0= 629,	ch1= 410,	ch2=   0,	ch3=  94,	ch4=   8,	ch5=  37,	time=1728461175069220,	delta=841,	
seq=155,	ch0= 760,	ch1= 312,	ch2=  58,	ch3=   0,	ch4=  23,	ch5=  33,	time=1728461175070061,	delta=841,	
seq=156,	ch0= 789,	ch1= 202,	ch2= 168,	ch3=  21,	ch4=  21,	ch5=  18,	time=1728461175070902,	delta=841,	
seq=157,	ch0= 784,	ch1= 110,	ch2= 277,	ch3=  20,	ch4=  23,	ch5=  17,	time=1728461175071743,	delta=841,	
seq=158,	ch0= 738,	ch1=  37,	ch2= 383,	ch3=  18,	ch4=  21,	ch5=  21,	time=1728461175072584,	delta=841,	
seq=159,	ch0= 676,	ch1=   0,	ch2= 500,	ch3=  21,	ch4=  23,	ch5=  26,	time=1728461175073425,	delta=841,	
seq=160,	ch0= 595,	ch1=   0,	ch2= 609,	ch3=  26,	ch4=  26,	ch5=  21,	time=1728461175074252,	delta=827,	
seq=161,	ch0= 474,	ch1=   0,	ch2= 705,	ch3=  16,	ch4=  20,	ch5=  18,	time=1728461175075093,	delta=841,	
seq=162,	ch0= 389,	ch1=  10,	ch2= 778,	ch3=  25,	ch4=  32,	ch5=  18,	time=1728461175075934,	delta=841,	
seq=163,	ch0= 274,	ch1=  79,	ch2= 815,	ch3=  26,	ch4=  23,	ch5=  71,	time=1728461175076775,	delta=841,	
seq=164,	ch0= 176,	ch1= 193,	ch2= 847,	ch3=  36,	ch4=  20,	ch5=   8,	time=1728461175077617,	delta=842,	
seq=165,	ch0= 107,	ch1= 207,	ch2= 832,	ch3=  22,	ch4=   0,	ch5=  10,	time=1728461175078458,	delta=841,	
seq=166,	ch0=  92,	ch1= 354,	ch2= 800,	ch3=  21,	ch4=   4,	ch5=  26,	time=1728461175079299,	delta=841,	
seq=167,	ch0=   0,	ch1= 482,	ch2= 748,	ch3=  56,	ch4=  15,	ch5=  21,	time=1728461175080140,	delta=841,	
seq=168,	ch0=   0,	ch1= 592,	ch2= 635,	ch3=  26,	ch4=  21,	ch5=  25,	time=1728461175080981,	delta=841,	
seq=169,	ch0=   0,	ch1= 684,	ch2= 523,	ch3=  28,	ch4=  18,	ch5=  14,	time=1728461175081822,	delta=841,	
seq=170,	ch0=  17,	ch1= 759,	ch2= 418,	ch3=  23,	ch4=  23,	ch5=  21,	time=1728461175082663,	delta=841,	
seq=171,	ch0=  81,	ch1= 797,	ch2= 301,	ch3=  21,	ch4=  20,	ch5=  10,	time=1728461175083504,	delta=841,	
seq=172,	ch0= 167,	ch1= 805,	ch2= 194,	ch3=  23,	ch4=  25,	ch5=  17,	time=1728461175084345,	delta=841,	
seq=173,	ch0= 249,	ch1= 802,	ch2= 104,	ch3=  23,	ch4=  18,	ch5=  21,	time=1728461175085186,	delta=841,	
seq=174,	ch0= 360,	ch1= 767,	ch2=  33,	ch3=  23,	ch4=  21,	ch5=  14,	time=1728461175086027,	delta=841,	
seq=175,	ch0= 477,	ch1= 697,	ch2=   0,	ch3=  26,	ch4=  25,	ch5=   8,	time=1728461175086868,	delta=841,	
seq=176,	ch0= 596,	ch1= 608,	ch2=   0,	ch3=  13,	ch4=  11,	ch5=   0,	time=1728461175087771,	delta=903,	
seq=177,	ch0= 697,	ch1= 569,	ch2=   0,	ch3=  26,	ch4=   9,	ch5=   0,	time=1728461175088611,	delta=840,	
seq=178,	ch0= 730,	ch1= 341,	ch2=  26,	ch3=  23,	ch4=  58,	ch5=  11,	time=1728461175089452,	delta=841,	
seq=179,	ch0= 823,	ch1= 281,	ch2= 100,	ch3=  10,	ch4=   7,	ch5=  20,	time=1728461175090293,	delta=841,	
seq=180,	ch0= 791,	ch1= 186,	ch2= 189,	ch3=  18,	ch4=  18,	ch5=  23,	time=1728461175091134,	delta=841,	
seq=181,	ch0= 778,	ch1=  96,	ch2= 301,	ch3=  20,	ch4=  18,	ch5=  22,	time=1728461175091975,	delta=841,	
seq=182,	ch0= 725,	ch1=  20,	ch2= 418,	ch3=  18,	ch4=  16,	ch5=  14,	time=1728461175092816,	delta=841,	
seq=183,	ch0= 670,	ch1=   0,	ch2= 532,	ch3=  18,	ch4=  25,	ch5=  23,	time=1728461175093657,	delta=841,	
seq=184,	ch0= 569,	ch1=   0,	ch2= 628,	ch3=  20,	ch4=  50,	ch5=  17,	time=1728461175094498,	delta=841,	
seq=185,	ch0= 543,	ch1=   0,	ch2= 717,	ch3=  26,	ch4=  10,	ch5=  15,	time=1728461175095339,	delta=841,	
seq=186,	ch0= 335,	ch1=  29,	ch2= 786,	ch3=  53,	ch4=  21,	ch5=  21,	time=1728461175096180,	delta=841,	
seq=187,	ch0= 247,	ch1= 104,	ch2= 834,	ch3=  21,	ch4=  21,	ch5=  21,	time=1728461175097021,	delta=841,	
seq=188,	ch0= 164,	ch1= 197,	ch2= 783,	ch3=  23,	ch4=  29,	ch5=  93,	time=1728461175097862,	delta=841,	
seq=189,	ch0=  53,	ch1= 416,	ch2= 798,	ch3=  39,	ch4=  37,	ch5=   0,	time=1728461175098703,	delta=841,	
seq=190,	ch0=   9,	ch1= 338,	ch2= 769,	ch3=  40,	ch4=  74,	ch5=  13,	time=1728461175099544,	delta=841,	
seq=191,	ch0=   0,	ch1= 520,	ch2= 704,	ch3=  30,	ch4=  21,	ch5=  29,	time=1728461175100385,	delta=841,	
seq=192,	ch0=   0,	ch1= 610,	ch2= 608,	ch3=  26,	ch4=  21,	ch5=  16,	time=1728461175101180,	delta=795,	
seq=193,	ch0=   0,	ch1= 694,	ch2= 506,	ch3=  25,	ch4=  25,	ch5=  13,	time=1728461175102021,	delta=841,	
seq=194,	ch0=  32,	ch1= 759,	ch2= 383,	ch3=  21,	ch4=  26,	ch5=  12,	time=1728461175102862,	delta=841,	
seq=195,	ch0=  96,	ch1= 795,	ch2= 279,	ch3=  28,	ch4=  20,	ch5=  20,	time=1728461175103703,	delta=841,	
