seq=130,	ch0= 407,	ch1=   0,	ch2= 780,	ch3= 442,	ch4=  13,	ch5= 330,	time=1728462775392024,	delta=841,	
seq=131,	ch0= 299,	ch1=  75,	ch2= 832,	ch3= 369,	ch4=   0,	ch5= 407,	time=1728462775392865,	delta=841,	
seq=132,	ch0= 188,	ch1= 161,	ch2= 847,	ch3= 305,	ch4=   0,	ch5= 465,	time=1728462775393706,	delta=841,	
seq=133,	ch0=  96,	ch1= 257,	ch2= 843,	ch3= 229,	ch4=  34,	ch5= 509,	time=1728462775394548,	delta=842,	
seq=134,	ch0=  30,	ch1= 365,	ch2= 803,	ch3= 164,	ch4=  89,	ch5= 535,	time=1728462775395389,	delta=841,	
seq=135,	ch0=   0,	ch1= 482,	ch2= 733,	ch3= 101,	ch4= 133,	ch5= 540,	time=1728462775396231,	delta=842,	
seq=136,	ch0=   0,	ch1= 587,	ch2= 640,	ch3=  37,	ch4= 192,	ch5= 526,	time=1728462775397072,	delta=841,	
seq=137,	ch0=   0,	ch1= 671,	ch2= 547,	ch3=  10,	ch4= 261,	ch5= 480,	time=1728462775397913,	delta=841,	
seq=138,	ch0=  21,	ch1= 750,	ch2= 433,	ch3=   0,	ch4= 309,	ch5= 426,	time=1728462775398754,	delta=841,	
seq=139,	ch0=  64,	ch1= 789,	ch2= 320,	ch3=   0,	ch4= 373,	ch5= 373,	time=1728462775399595,	delta=841,	
seq=140,	ch0= 154,	ch1= 832,	ch2= 263,	ch3=   0,	ch4= 426,	ch5= 280,	time=1728462775400437,	delta=842,	
seq=141,	ch0= 253,	ch1= 784,	ch2=  23,	ch3=  10,	ch4= 427,	ch5= 301,	time=1728462775401279,	delta=842,	
seq=142,	ch0= 407,	ch1= 765,	ch2=   0,	ch3=  53,	ch4= 434,	ch5=  57,	time=1728462775402121,	delta=842,	
seq=143,	ch0= 480,	ch1= 693,	ch2=   0,	ch3= 130,	ch4= 448,	ch5=  72,	time=1728462775402963,	delta=842,	
seq=144,	ch0= 576,	ch1= 612,	ch2=   0,	ch3= 196,	ch4= 433,	ch5=  31,	time=1728462775403824,	delta=861,	
seq=145,	ch0= 650,	ch1= 510,	ch2=   0,	ch3= 272,	ch4= 381,	ch5=   0,	time=1728462775404665,	delta=841,	
seq=146,	ch0= 725,	ch1= 400,	ch2=  23,	ch3= 341,	ch4= 340,	ch5=   0,	time=1728462775405506,	delta=841,	
seq=147,	ch0= 776,	ch1= 293,	ch2=  90,	ch3= 399,	ch4= 282,	ch5=   0,	time=1728462775406348,	delta=842,	
seq=148,	ch0= 786,	ch1= 176,	ch2= 184,	ch3= 450,	ch4= 261,	ch5=   0,	time=1728462775407189,	delta=841,	
seq=149,	ch0= 770,	ch1=  85,	ch2= 282,	ch3= 485,	ch4= 144,	ch5=  30,	time=1728462775408031,	delta=842,	
seq=150,	ch0= 818,	ch1=  21,	ch2= 398,	ch3= 510,	ch4=  85,	ch5=  79,	time=1728462775408873,	delta=842,	
seq=151,	ch0= 704,	ch1=   0,	ch2= 516,	ch3= 522,	ch4=  49,	ch5= 145,	time=1728462775409714,	delta=841,	
seq=152,	ch0= 631,	ch1=   0,	ch2= 610,	ch3= 576,	ch4=   0,	ch5= 235,	time=1728462775410555,	delta=841,	
seq=153,	ch0= 378,	ch1=   0,	ch2= 733,	ch3= 527,	ch4=   0,	ch5= 330,	time=1728462775411396,	delta=841,	
seq=154,	ch0= 322,	ch1=  13,	ch2= 799,	ch3= 453,	ch4=   0,	ch5= 341,	time=1728462775412237,	delta=841,	
seq=155,	ch0= 272,	ch1=  98,	ch2= 839,	ch3= 354,	ch4=   0,	ch5= 427,	time=1728462775413078,	delta=841,	
seq=156,	ch0= 170,	ch1= 186,	ch2= 852,	ch3= 277,	ch4=   0,	ch5= 485,	time=1728462775413920,	delta=842,	
seq=157,	ch0=  85,	ch1= 285,	ch2= 832,	ch3= 213,	ch4=  34,	ch5= 509,	time=1728462775414762,	delta=842,	
seq=158,	ch0=  16,	ch1= 394,	ch2= 784,	ch3= 148,	ch4= 100,	ch5= 525,	time=1728462775415603,	delta=841,	
seq=159,	ch0=   0,	ch1= 500,	ch2= 719,	ch3=  85,	ch4= 149,	ch5= 530,	time=1728462775416444,	delta=841,	
seq=160,	ch0=   0,	ch1= 591,	ch2= 612,	ch3=  40,	ch4= 215,	ch5= 509,	time=1728462775417282,	delta=838,	
seq=161,	ch0=   0,	ch1= 685,	ch2= 505,	ch3=   0,	ch4= 276,	ch5= 465,	time=1728462775418123,	delta=841,	
