seq=96,	ch0=1120,	ch1= 105,	ch2=2559,	ch3= 232,	ch4=  18,	ch5= 500,	time=1728464175446069,	delta=847,	
seq=97,	ch0= 745,	ch1= 309,	ch2=2631,	ch3= 157,	ch4=  66,	ch5= 528,	time=1728464175446911,	delta=842,	
seq=98,	ch0= 408,	ch1= 568,	ch2=2678,	ch3= 132,	ch4= 124,	ch5= 549,	time=1728464175447753,	delta=842,	
seq=99,	ch0= 162,	ch1= 882,	ch2=2648,	ch3=  74,	ch4= 177,	ch5= 514,	time=1728464175448595,	delta=842,	
seq=100,	ch0=   0,	ch1=1230,	ch2=2539,	ch3=   0,	ch4= 250,	ch5= 473,	time=1728464175449437,	delta=842,	
seq=101,	ch0=   0,	ch1=1535,	ch2=2145,	ch3=   0,	ch4= 304,	ch5= 419,	time=1728464175450279,	delta=842,	
seq=102,	ch0=   0,	ch1=1833,	ch2=1857,	ch3=   0,	ch4= 368,	ch5= 361,	time=1728464175451120,	delta=841,	
seq=103,	ch0=   0,	ch1=2066,	ch2=1530,	ch3=   4,	ch4= 401,	ch5= 280,	time=1728464175451962,	delta=842,	
seq=104,	ch0= 101,	ch1=2640,	ch2=1169,	ch3=  26,	ch4= 417,	ch5= 202,	time=1728464175452804,	delta=842,	
seq=105,	ch0= 314,	ch1=2873,	ch2= 832,	ch3=  77,	ch4= 437,	ch5= 125,	time=1728464175453646,	delta=842,	
seq=106,	ch0= 581,	ch1=2928,	ch2= 498,	ch3= 141,	ch4= 433,	ch5=  78,	time=1728464175454488,	delta=842,	
seq=107,	ch0= 898,	ch1=2807,	ch2= 230,	ch3= 209,	ch4= 409,	ch5=  21,	time=1728464175455330,	delta=842,	
seq=108,	ch0=1222,	ch1=2542,	ch2=  41,	ch3= 298,	ch4= 375,	ch5=   0,	time=1728464175456172,	delta=842,	
seq=109,	ch0=1530,	ch1=2012,	ch2=   0,	ch3= 366,	ch4= 333,	ch5=   0,	time=1728464175457013,	delta=841,	
seq=110,	ch0=1801,	ch1=1778,	ch2=   8,	ch3= 405,	ch4= 258,	ch5=   0,	time=1728464175457855,	delta=842,	
seq=111,	ch0=2057,	ch1=1487,	ch2=   0,	ch3= 455,	ch4= 192,	ch5=   0,	time=1728464175458697,	delta=842,	
seq=112,	ch0=2416,	ch1=1142,	ch2= 141,	ch3= 496,	ch4= 142,	ch5=   4,	time=1728464175459552,	delta=855,	
seq=113,	ch0=2510,	ch1= 775,	ch2= 368,	ch3= 540,	ch4=  93,	ch5=  84,	time=1728464175460394,	delta=842,	
seq=114,	ch0=2523,	ch1= 480,	ch2= 660,	ch3= 538,	ch4=  34,	ch5= 149,	time=1728464175461236,	delta=842,	
seq=115,	ch0=2459,	ch1= 218,	ch2= 994,	ch3= 530,	ch4=   7,	ch5= 232,	time=1728464175462078,	delta=842,	
seq=116,	ch0=2350,	ch1=  26,	ch2=1344,	ch3= 503,	ch4=   0,	ch5= 304,	time=1728464175462920,	delta=842,	
seq=117,	ch0=1927,	ch1=   9,	ch2=1680,	ch3= 437,	ch4=   0,	ch5= 375,	time=1728464175463762,	delta=842,	
seq=118,	ch0=1660,	ch1=  16,	ch2=1998,	ch3= 378,	ch4=   0,	ch5= 429,	time=1728464175464604,	delta=842,	
seq=119,	ch0=1344,	ch1=   0,	ch2=2433,	ch3= 294,	ch4=   1,	ch5= 471,	time=1728464175465445,	delta=841,	
seq=120,	ch0=1031,	ch1= 148,	ch2=2581,	ch3= 214,	ch4=  41,	ch5= 506,	time=1728464175466287,	delta=842,	
seq=121,	ch0= 715,	ch1= 373,	ch2=2642,	ch3= 142,	ch4=  82,	ch5= 522,	time=1728464175467129,	delta=842,	
seq=122,	ch0= 417,	ch1= 637,	ch2=2626,	ch3=  77,	ch4= 161,	ch5= 584,	time=1728464175467971,	delta=842,	
seq=123,	ch0= 221,	ch1= 986,	ch2=2584,	ch3=  25,	ch4= 228,	ch5= 496,	time=1728464175468813,	delta=842,	
seq=124,	ch0=  64,	ch1=1322,	ch2=2473,	ch3=   0,	ch4= 258,	ch5= 386,	time=1728464175469655,	delta=842,	
seq=125,	ch0=   0,	ch1=1603,	ch2=2075,	ch3=   4,	ch4= 326,	ch5= 402,	time=1728464175470496,	delta=841,	
seq=126,	ch0=   0,	ch1=1888,	ch2=1776,	ch3=   8,	ch4= 369,	ch5= 334,	time=1728464175471337,	delta=841,	
seq=127,	ch0=   0,	ch1=2375,	ch2=1445,	ch3=   2,	ch4= 403,	ch5= 252,	time=1728464175472178,	delta=841,	
seq=128,	ch0= 159,	ch1=2720,	ch2=1090,	ch3=  37,	ch4= 426,	ch5= 181,	time=1728464175473023,	delta=845,	
seq=129,	ch0= 381,	ch1=2912,	ch2= 751,	ch3=  96,	ch4= 433,	ch5= 121,	time=1728464175473865,	delta=842,	
seq=130,	ch0= 682,	ch1=2974,	ch2= 433,	ch3= 161,	ch4= 430,	ch5=  45,	time=1728464175474707,	delta=842,	
seq=131,	ch0= 984,	ch1=2790,	ch2= 170,	ch3= 245,	ch4= 405,	ch5=   0,	time=1728464175475549,	delta=842,	
seq=132,	ch0=1308,	ch1=2471,	ch2=   5,	ch3= 320,	ch4= 367,	ch5=   0,	time=1728464175476391,	delta=842,	
seq=133,	ch0=1606,	ch1=1978,	ch2=   0,	ch3= 376,	ch4= 321,	ch5=   0,	time=1728464175477232,	delta=841,	
seq=134,	ch0=1877,	ch1=1760,	ch2=   0,	ch3= 463,	ch4= 269,	ch5=   0,	time=1728464175478074,	delta=842,	
seq=135,	ch0=2340,	ch1=1461,	ch2=   0,	ch3= 516,	ch4= 212,	ch5=   0,	time=1728464175478915,	delta=841,	
seq=136,	ch0=2460,	ch1=1101,	ch2= 174,	ch3= 560,	ch4= 137,	ch5=   9,	time=1728464175479757,	delta=842,	
seq=137,	ch0=2511,	ch1= 704,	ch2= 448,	ch3= 536,	ch4=  71,	ch5= 101,	time=1728464175480599,	delta=842,	
seq=138,	ch0=2511,	ch1= 415,	ch2= 738,	ch3= 541,	ch4=  34,	ch5= 170,	time=1728464175481441,	delta=842,	
seq=139,	ch0=2440,	ch1= 170,	ch2=1075,	ch3= 526,	ch4=   9,	ch5= 252,	time=1728464175482283,	delta=842,	
seq=140,	ch0=2316,	ch1=   4,	ch2=1424,	ch3= 480,	ch4=   0,	ch5= 325,	time=1728464175483124,	delta=841,	
seq=141,	ch0=1867,	ch1=  10,	ch2=1762,	ch3= 426,	ch4=   0,	ch5= 383,	time=1728464175483966,	delta=842,	
seq=142,	ch0=1575,	ch1=   0,	ch2=2059,	ch3= 357,	ch4=   0,	ch5= 440,	time=1728464175484808,	delta=842,	
seq=143,	ch0=1276,	ch1=   4,	ch2=2494,	ch3= 273,	ch4=   8,	ch5= 481,	time=1728464175485649,	delta=841,	
seq=144,	ch0= 960,	ch1= 192,	ch2=2606,	ch3= 197,	ch4=  50,	ch5= 506,	time=1728464175486497,	delta=848,	
seq=145,	ch0= 637,	ch1= 426,	ch2=2661,	ch3= 131,	ch4=  96,	ch5= 519,	time=1728464175487339,	delta=842,	
seq=146,	ch0= 354,	ch1= 706,	ch2=2666,	ch3=  64,	ch4= 125,	ch5= 516,	time=1728464175488181,	delta=842,	
seq=147,	ch0= 242,	ch1=1056,	ch2=2626,	ch3=  33,	ch4= 178,	ch5= 493,	time=1728464175489023,	delta=842,	
seq=148,	ch0=  73,	ch1=1388,	ch2=2509,	ch3=  17,	ch4= 266,	ch5= 437,	time=1728464175489865,	delta=842,	
seq=149,	ch0=   0,	ch1=1677,	ch2=2008,	ch3=  13,	ch4= 343,	ch5= 392,	time=1728464175490706,	delta=841,	
seq=150,	ch0=   0,	ch1=1960,	ch2=1696,	ch3=   0,	ch4= 383,	ch5= 322,	time=1728464175491548,	delta=842,	
seq=151,	ch0=  21,	ch1=2480,	ch2=1363,	ch3=   1,	ch4= 404,	ch5= 242,	time=1728464175492389,	delta=841,	
seq=152,	ch0= 203,	ch1=2781,	ch2=1000,	ch3=  53,	ch4= 436,	ch5= 154,	time=1728464175493231,	delta=842,	
seq=153,	ch0= 453,	ch1=2928,	ch2= 658,	ch3= 103,	ch4= 439,	ch5=  98,	time=1728464175494074,	delta=843,	
seq=154,	ch0= 736,	ch1=2888,	ch2= 365,	ch3= 217,	ch4= 420,	ch5=  42,	time=1728464175494917,	delta=843,	
seq=155,	ch0=1055,	ch1=2679,	ch2= 117,	ch3= 289,	ch4= 394,	ch5=   4,	time=1728464175495759,	delta=842,	
seq=156,	ch0=1381,	ch1=2351,	ch2=   0,	ch3= 358,	ch4= 359,	ch5=   0,	time=1728464175496600,	delta=841,	
seq=157,	ch0=1667,	ch1=1888,	ch2=   5,	ch3= 414,	ch4= 302,	ch5=   0,	time=1728464175497442,	delta=842,	
seq=158,	ch0=1880,	ch1=1592,	ch2=  27,	ch3= 490,	ch4= 226,	ch5=   0,	time=1728464175498284,	delta=842,	
seq=159,	ch0=2329,	ch1=1265,	ch2=  55,	ch3= 463,	ch4= 164,	ch5=   0,	time=1728464175499126,	delta=842,	
seq=160,	ch0=2446,	ch1= 936,	ch2= 242,	ch3= 484,	ch4= 113,	ch5=  58,	time=1728464175499972,	delta=846,	
seq=161,	ch0=2528,	ch1= 623,	ch2= 508,	ch3= 541,	ch4=  68,	ch5= 107,	time=1728464175500814,	delta=842,	
seq=162,	ch0=2499,	ch1= 337,	ch2= 824,	ch3= 544,	ch4=  26,	ch5= 194,	time=1728464175501656,	delta=842,	
seq=163,	ch0=2413,	ch1= 116,	ch2=1173,	ch3= 513,	ch4=   0,	ch5= 273,	time=1728464175502498,	delta=842,	
seq=164,	ch0=2264,	ch1=  11,	ch2=1508,	ch3= 472,	ch4=   0,	ch5= 333,	time=1728464175503340,	delta=842,	
seq=165,	ch0=1797,	ch1=   0,	ch2=1827,	ch3= 410,	ch4=   0,	ch5= 400,	time=1728464175504182,	delta=842,	
seq=166,	ch0=1508,	ch1=   6,	ch2=2122,	ch3= 325,	ch4=   2,	ch5= 442,	time=1728464175505024,	delta=842,	
seq=167,	ch0=1194,	ch1=  64,	ch2=2529,	ch3= 253,	ch4=  14,	ch5= 480,	time=1728464175505865,	delta=841,	
seq=168,	ch0= 864,	ch1= 250,	ch2=2631,	ch3= 166,	ch4=  57,	ch5= 519,	time=1728464175506707,	delta=842,	
seq=169,	ch0= 546,	ch1= 504,	ch2=2711,	ch3=  96,	ch4= 117,	ch5= 533,	time=1728464175507549,	delta=842,	
seq=170,	ch0= 290,	ch1= 839,	ch2=2698,	ch3=  50,	ch4= 206,	ch5= 516,	time=1728464175508391,	delta=842,	
seq=171,	ch0=  69,	ch1=1164,	ch2=2591,	ch3=  23,	ch4= 234,	ch5= 559,	time=1728464175509233,	delta=842,	
seq=172,	ch0=   0,	ch1=1472,	ch2=2279,	ch3=   0,	ch4= 298,	ch5= 487,	time=1728464175510075,	delta=842,	
seq=173,	ch0=   0,	ch1=1760,	ch2=1936,	ch3=   0,	ch4= 343,	ch5= 375,	time=1728464175510917,	delta=842,	
seq=174,	ch0=   0,	ch1=2029,	ch2=1615,	ch3=   2,	ch4= 389,	ch5= 287,	time=1728464175511759,	delta=842,	
seq=175,	ch0=  66,	ch1=2572,	ch2=1271,	ch3=  18,	ch4= 424,	ch5= 207,	time=1728464175512601,	delta=842,	
seq=176,	ch0= 267,	ch1=2842,	ch2= 913,	ch3=  69,	ch4= 437,	ch5= 148,	time=1728464175513454,	delta=853,	
seq=177,	ch0= 521,	ch1=2935,	ch2= 593,	ch3= 128,	ch4= 431,	ch5=  72,	time=1728464175514296,	delta=842,	
seq=178,	ch0= 832,	ch1=2844,	ch2= 279,	ch3= 206,	ch4= 421,	ch5=  21,	time=1728464175515138,	delta=842,	
seq=179,	ch0=1156,	ch1=2658,	ch2=  69,	ch3= 277,	ch4= 394,	ch5=   0,	time=1728464175515980,	delta=842,	
seq=180,	ch0=1458,	ch1=2131,	ch2=  11,	ch3= 354,	ch4= 341,	ch5=   0,	time=1728464175516822,	delta=842,	
seq=181,	ch0=1766,	ch1=1803,	ch2=   0,	ch3= 417,	ch4= 276,	ch5=   0,	time=1728464175517663,	delta=841,	
seq=182,	ch0=1976,	ch1=1608,	ch2=   0,	ch3= 458,	ch4= 218,	ch5=   0,	time=1728464175518505,	delta=842,	
seq=183,	ch0=2397,	ch1=1171,	ch2=  52,	ch3= 489,	ch4= 141,	ch5=   0,	time=1728464175519347,	delta=842,	
seq=184,	ch0=2481,	ch1= 856,	ch2= 308,	ch3= 527,	ch4=  97,	ch5=  64,	time=1728464175520189,	delta=842,	
seq=185,	ch0=2524,	ch1= 530,	ch2= 584,	ch3= 554,	ch4=  53,	ch5= 138,	time=1728464175521031,	delta=842,	
seq=186,	ch0=2485,	ch1= 274,	ch2= 913,	ch3= 535,	ch4=  13,	ch5= 206,	time=1728464175521873,	delta=842,	
seq=187,	ch0=2383,	ch1=  85,	ch2=1253,	ch3= 506,	ch4=   0,	ch5= 298,	time=1728464175522715,	delta=842,	
seq=188,	ch0=2023,	ch1=   4,	ch2=1593,	ch3= 458,	ch4=   0,	ch5= 352,	time=1728464175523556,	delta=841,	
seq=189,	ch0=1728,	ch1=   1,	ch2=1914,	ch3= 387,	ch4=   0,	ch5= 414,	time=1728464175524398,	delta=842,	
seq=190,	ch0=1439,	ch1=   5,	ch2=2173,	ch3= 320,	ch4=   0,	ch5= 460,	time=1728464175525239,	delta=841,	
seq=191,	ch0=1112,	ch1= 109,	ch2=2567,	ch3= 229,	ch4=  26,	ch5= 484,	time=1728464175526081,	delta=842,	
seq=192,	ch0= 785,	ch1= 293,	ch2=2646,	ch3= 159,	ch4=  72,	ch5= 510,	time=1728464175526930,	delta=849,	
seq=193,	ch0= 465,	ch1= 533,	ch2=2668,	ch3= 101,	ch4= 164,	ch5= 503,	time=1728464175527772,	delta=842,	
seq=194,	ch0= 249,	ch1= 875,	ch2=2631,	ch3=  39,	ch4= 145,	ch5= 505,	time=1728464175528614,	delta=842,	
seq=195,	ch0=  23,	ch1=1207,	ch2=2524,	ch3=   4,	ch4= 218,	ch5= 477,	time=1728464175529456,	delta=842,	
