seq=106,	ch0=1588,	ch1= 440,	ch2= 324,	ch3= 116,	ch4=  64,	ch5=  79,	time=1728462964640728,	delta=842,	
seq=107,	ch0=1678,	ch1= 256,	ch2= 544,	ch3= 118,	ch4=  49,	ch5=  77,	time=1728462964641570,	delta=842,	
seq=108,	ch0=1583,	ch1= 114,	ch2= 745,	ch3= 199,	ch4=  53,	ch5=  97,	time=1728462964642412,	delta=842,	
seq=109,	ch0=1328,	ch1=   2,	ch2=1031,	ch3= 167,	ch4=  74,	ch5=  74,	time=1728462964643254,	delta=842,	
seq=110,	ch0=1208,	ch1=   0,	ch2=1218,	ch3= 114,	ch4=  74,	ch5=  79,	time=1728462964644095,	delta=841,	
seq=111,	ch0=1040,	ch1=   0,	ch2=1405,	ch3= 132,	ch4=  79,	ch5=  85,	time=1728462964644936,	delta=841,	
seq=112,	ch0= 825,	ch1=  39,	ch2=1568,	ch3= 120,	ch4=  69,	ch5=  88,	time=1728462964645784,	delta=848,	
seq=113,	ch0= 610,	ch1= 164,	ch2=1672,	ch3= 133,	ch4=  69,	ch5=  81,	time=1728462964646626,	delta=842,	
seq=114,	ch0= 406,	ch1= 336,	ch2=1729,	ch3= 137,	ch4=  82,	ch5=  96,	time=1728462964647468,	delta=842,	
seq=115,	ch0= 234,	ch1= 530,	ch2=1714,	ch3= 133,	ch4=  85,	ch5=  85,	time=1728462964648310,	delta=842,	
seq=116,	ch0=  90,	ch1= 752,	ch2=1638,	ch3= 121,	ch4=  73,	ch5=  64,	time=1728462964649152,	delta=842,	
seq=117,	ch0=   0,	ch1= 965,	ch2=1486,	ch3= 133,	ch4=  74,	ch5=  64,	time=1728462964649994,	delta=842,	
seq=118,	ch0=   0,	ch1=1175,	ch2=1330,	ch3= 129,	ch4=  78,	ch5=  78,	time=1728462964650835,	delta=841,	
seq=119,	ch0=   0,	ch1=1410,	ch2=1114,	ch3= 130,	ch4=  92,	ch5=  58,	time=1728462964651676,	delta=841,	
seq=120,	ch0=  29,	ch1=1372,	ch2= 872,	ch3= 114,	ch4= 157,	ch5=  78,	time=1728462964652518,	delta=842,	
seq=121,	ch0= 178,	ch1=1536,	ch2= 642,	ch3= 130,	ch4= 132,	ch5=  79,	time=1728462964653360,	delta=842,	
seq=122,	ch0= 328,	ch1=1632,	ch2= 437,	ch3= 122,	ch4=  68,	ch5=  82,	time=1728462964654202,	delta=842,	
seq=123,	ch0= 528,	ch1=1624,	ch2= 250,	ch3= 119,	ch4=  74,	ch5=  85,	time=1728462964655044,	delta=842,	
seq=124,	ch0= 747,	ch1=1537,	ch2=  92,	ch3= 117,	ch4=  79,	ch5=  82,	time=1728462964655886,	delta=842,	
seq=125,	ch0= 960,	ch1=1422,	ch2=   0,	ch3= 112,	ch4=  73,	ch5=  92,	time=1728462964656728,	delta=842,	
seq=126,	ch0=1159,	ch1=1245,	ch2=   0,	ch3= 117,	ch4=  66,	ch5=  71,	time=1728462964657569,	delta=841,	
seq=127,	ch0=1335,	ch1=1047,	ch2=   0,	ch3= 106,	ch4=  85,	ch5=  77,	time=1728462964658410,	delta=841,	
seq=128,	ch0=1455,	ch1= 832,	ch2= 118,	ch3= 121,	ch4=  75,	ch5=  82,	time=1728462964659269,	delta=859,	
seq=129,	ch0=1556,	ch1= 612,	ch2= 224,	ch3= 111,	ch4=  74,	ch5= 151,	time=1728462964660111,	delta=842,	
seq=130,	ch0=1600,	ch1= 406,	ch2= 363,	ch3= 121,	ch4=  73,	ch5= 103,	time=1728462964660953,	delta=842,	
seq=131,	ch0=1567,	ch1= 233,	ch2= 562,	ch3= 119,	ch4=  74,	ch5=  26,	time=1728462964661795,	delta=842,	
seq=132,	ch0=1526,	ch1= 146,	ch2= 808,	ch3= 141,	ch4=  84,	ch5=  52,	time=1728462964662637,	delta=842,	
seq=133,	ch0=1332,	ch1=   0,	ch2=1025,	ch3= 117,	ch4= 148,	ch5=  66,	time=1728462964663479,	delta=842,	
seq=134,	ch0=1188,	ch1=   0,	ch2=1266,	ch3= 128,	ch4=  81,	ch5=  90,	time=1728462964664320,	delta=841,	
seq=135,	ch0= 983,	ch1=   0,	ch2=1457,	ch3= 117,	ch4=  69,	ch5=  86,	time=1728462964665161,	delta=841,	
seq=136,	ch0= 776,	ch1=  66,	ch2=1600,	ch3= 130,	ch4=  84,	ch5=  82,	time=1728462964666003,	delta=842,	
seq=137,	ch0= 549,	ch1= 206,	ch2=1695,	ch3= 125,	ch4=  79,	ch5=  93,	time=1728462964666845,	delta=842,	
seq=138,	ch0= 362,	ch1= 383,	ch2=1728,	ch3= 127,	ch4=  84,	ch5=  85,	time=1728462964667687,	delta=842,	
seq=139,	ch0= 171,	ch1= 586,	ch2=1699,	ch3= 128,	ch4=  73,	ch5=  90,	time=1728462964668529,	delta=842,	
seq=140,	ch0=  50,	ch1= 808,	ch2=1607,	ch3= 112,	ch4=  81,	ch5=  85,	time=1728462964669371,	delta=842,	
seq=141,	ch0=   0,	ch1=1027,	ch2=1475,	ch3= 120,	ch4=  75,	ch5=  89,	time=1728462964670213,	delta=842,	
seq=142,	ch0=   0,	ch1=1216,	ch2=1277,	ch3= 117,	ch4=  74,	ch5=  84,	time=1728462964671054,	delta=841,	
seq=143,	ch0=   0,	ch1=1376,	ch2=1135,	ch3= 109,	ch4=  87,	ch5=  96,	time=1728462964671895,	delta=841,	
seq=144,	ch0=  64,	ch1=1548,	ch2= 880,	ch3= 103,	ch4=  82,	ch5=  75,	time=1728462964672735,	delta=840,	
