seq=165,	ch0=   0,	ch1= 438,	ch2= 764,	ch3= 189,	ch4= 170,	ch5= 804,	time=1728462916826239,	delta=842,	
seq=166,	ch0=   0,	ch1= 542,	ch2= 676,	ch3= 108,	ch4= 271,	ch5= 789,	time=1728462916827081,	delta=842,	
seq=167,	ch0=   0,	ch1= 626,	ch2= 562,	ch3=  34,	ch4= 329,	ch5= 743,	time=1728462916827922,	delta=841,	
seq=168,	ch0=  87,	ch1= 706,	ch2= 464,	ch3=   0,	ch4= 405,	ch5= 668,	time=1728462916828763,	delta=841,	
seq=169,	ch0=  93,	ch1= 769,	ch2= 353,	ch3=   2,	ch4= 485,	ch5= 568,	time=1728462916829604,	delta=841,	
seq=170,	ch0= 106,	ch1= 815,	ch2= 231,	ch3=  20,	ch4= 568,	ch5= 471,	time=1728462916830445,	delta=841,	
seq=171,	ch0= 174,	ch1= 791,	ch2= 136,	ch3=   0,	ch4= 610,	ch5= 341,	time=1728462916831287,	delta=842,	
seq=172,	ch0= 297,	ch1= 794,	ch2=  64,	ch3=  58,	ch4= 654,	ch5= 290,	time=1728462916832129,	delta=842,	
seq=173,	ch0= 421,	ch1= 706,	ch2=   0,	ch3= 155,	ch4= 658,	ch5= 152,	time=1728462916832971,	delta=842,	
seq=174,	ch0= 543,	ch1= 645,	ch2=   0,	ch3= 272,	ch4= 650,	ch5=  77,	time=1728462916833812,	delta=841,	
seq=175,	ch0= 628,	ch1= 546,	ch2=   0,	ch3= 382,	ch4= 599,	ch5=  10,	time=1728462916834653,	delta=841,	
seq=176,	ch0= 705,	ch1= 437,	ch2=   4,	ch3= 480,	ch4= 536,	ch5=   0,	time=1728462916835515,	delta=862,	
seq=177,	ch0= 757,	ch1= 325,	ch2=  66,	ch3= 576,	ch4= 454,	ch5=   0,	time=1728462916836357,	delta=842,	
seq=178,	ch0= 786,	ch1= 224,	ch2= 153,	ch3= 650,	ch4= 362,	ch5=   0,	time=1728462916837199,	delta=842,	
seq=179,	ch0= 767,	ch1= 133,	ch2= 250,	ch3= 723,	ch4= 274,	ch5=  25,	time=1728462916838041,	delta=842,	
seq=180,	ch0= 750,	ch1=  52,	ch2= 362,	ch3= 765,	ch4= 196,	ch5= 100,	time=1728462916838883,	delta=842,	
seq=181,	ch0= 692,	ch1=   0,	ch2= 485,	ch3= 791,	ch4= 117,	ch5= 194,	time=1728462916839725,	delta=842,	
seq=182,	ch0= 612,	ch1=   0,	ch2= 578,	ch3= 767,	ch4=  40,	ch5= 306,	time=1728462916840566,	delta=841,	
seq=183,	ch0= 649,	ch1=   0,	ch2= 717,	ch3= 733,	ch4=   0,	ch5= 413,	time=1728462916841407,	delta=841,	
seq=184,	ch0= 501,	ch1=   0,	ch2= 808,	ch3= 662,	ch4=   0,	ch5= 500,	time=1728462916842249,	delta=842,	
seq=185,	ch0= 235,	ch1=  43,	ch2= 815,	ch3= 637,	ch4=   0,	ch5= 644,	time=1728462916843090,	delta=841,	
seq=186,	ch0= 197,	ch1= 154,	ch2= 856,	ch3= 459,	ch4=   0,	ch5= 696,	time=1728462916843932,	delta=842,	
seq=187,	ch0= 106,	ch1= 253,	ch2= 836,	ch3= 346,	ch4=  42,	ch5= 757,	time=1728462916844774,	delta=842,	
seq=188,	ch0=  39,	ch1= 361,	ch2= 812,	ch3= 258,	ch4= 113,	ch5= 797,	time=1728462916845616,	delta=842,	
seq=189,	ch0=   0,	ch1= 478,	ch2= 733,	ch3= 161,	ch4= 193,	ch5= 805,	time=1728462916846458,	delta=842,	
seq=190,	ch0=   0,	ch1= 569,	ch2= 652,	ch3=  82,	ch4= 280,	ch5= 775,	time=1728462916847300,	delta=842,	
seq=191,	ch0=   0,	ch1= 658,	ch2= 520,	ch3=  23,	ch4= 380,	ch5= 782,	time=1728462916848142,	delta=842,	
seq=192,	ch0=   6,	ch1= 736,	ch2= 407,	ch3=   0,	ch4= 448,	ch5= 677,	time=1728462916848982,	delta=840,	
seq=193,	ch0=  69,	ch1= 779,	ch2= 306,	ch3=   0,	ch4= 517,	ch5= 537,	time=1728462916849824,	delta=842,	
