seq=140,	ch0=1549,	ch1= 583,	ch2= 173,	ch3= 541,	ch4= 602,	ch5=   0,	time=1728463220001036,	delta=842,	
seq=141,	ch0=1605,	ch1= 418,	ch2= 340,	ch3= 613,	ch4= 421,	ch5=   0,	time=1728463220001878,	delta=842,	
seq=142,	ch0=1587,	ch1= 252,	ch2= 559,	ch3= 714,	ch4= 389,	ch5=   0,	time=1728463220002720,	delta=842,	
seq=143,	ch0=1507,	ch1= 109,	ch2= 789,	ch3= 777,	ch4= 289,	ch5=  37,	time=1728463220003562,	delta=842,	
seq=144,	ch0=1389,	ch1=   4,	ch2=1021,	ch3= 824,	ch4= 207,	ch5=  94,	time=1728463220004407,	delta=845,	
seq=145,	ch0=1208,	ch1=   0,	ch2=1241,	ch3= 850,	ch4= 114,	ch5= 197,	time=1728463220005249,	delta=842,	
seq=146,	ch0=1013,	ch1=   0,	ch2=1428,	ch3= 834,	ch4=  48,	ch5= 306,	time=1728463220006091,	delta=842,	
seq=147,	ch0= 802,	ch1=  53,	ch2=1592,	ch3= 774,	ch4=   8,	ch5= 429,	time=1728463220006933,	delta=842,	
seq=148,	ch0= 591,	ch1= 190,	ch2=1682,	ch3= 711,	ch4=   0,	ch5= 548,	time=1728463220007775,	delta=842,	
seq=149,	ch0= 386,	ch1= 352,	ch2=1732,	ch3= 608,	ch4=   0,	ch5= 653,	time=1728463220008617,	delta=842,	
seq=150,	ch0= 207,	ch1= 551,	ch2=1705,	ch3= 509,	ch4=   0,	ch5= 729,	time=1728463220009459,	delta=842,	
seq=151,	ch0=  90,	ch1= 773,	ch2=1564,	ch3= 375,	ch4=  58,	ch5= 843,	time=1728463220010301,	delta=842,	
seq=152,	ch0=   0,	ch1= 983,	ch2=1472,	ch3= 266,	ch4= 106,	ch5= 757,	time=1728463220011143,	delta=842,	
seq=153,	ch0=   0,	ch1=1295,	ch2=1290,	ch3= 199,	ch4= 209,	ch5= 796,	time=1728463220011985,	delta=842,	
seq=154,	ch0=   0,	ch1=1353,	ch2=1091,	ch3=  89,	ch4= 293,	ch5= 821,	time=1728463220012827,	delta=842,	
seq=155,	ch0=  50,	ch1=1505,	ch2= 872,	ch3=  17,	ch4= 378,	ch5= 778,	time=1728463220013668,	delta=841,	
seq=156,	ch0= 180,	ch1=1603,	ch2= 633,	ch3=   0,	ch4= 480,	ch5= 687,	time=1728463220014510,	delta=842,	
seq=157,	ch0= 346,	ch1=1635,	ch2= 428,	ch3=   0,	ch4= 565,	ch5= 591,	time=1728463220015352,	delta=842,	
seq=158,	ch0= 558,	ch1=1623,	ch2= 221,	ch3=   0,	ch4= 631,	ch5= 491,	time=1728463220016194,	delta=842,	
seq=159,	ch0= 744,	ch1=1524,	ch2=  77,	ch3=  64,	ch4= 658,	ch5= 357,	time=1728463220017036,	delta=842,	
seq=160,	ch0= 953,	ch1=1396,	ch2=   0,	ch3= 130,	ch4= 680,	ch5= 239,	time=1728463220017887,	delta=851,	
seq=161,	ch0=1165,	ch1=1217,	ch2=   0,	ch3= 194,	ch4= 687,	ch5= 144,	time=1728463220018729,	delta=842,	
seq=162,	ch0=1344,	ch1=1024,	ch2=   0,	ch3= 308,	ch4= 663,	ch5=  64,	time=1728463220019570,	delta=841,	
seq=163,	ch0=1466,	ch1= 841,	ch2=  69,	ch3= 421,	ch4= 602,	ch5=   0,	time=1728463220020412,	delta=842,	
seq=164,	ch0=1552,	ch1= 578,	ch2= 312,	ch3= 544,	ch4= 579,	ch5=   0,	time=1728463220021254,	delta=842,	
seq=165,	ch0=1593,	ch1= 418,	ch2= 458,	ch3= 649,	ch4= 450,	ch5=  26,	time=1728463220022096,	delta=842,	
seq=166,	ch0=1561,	ch1= 207,	ch2= 618,	ch3= 736,	ch4= 361,	ch5=   0,	time=1728463220022938,	delta=842,	
seq=167,	ch0=1483,	ch1=  67,	ch2= 860,	ch3= 793,	ch4= 261,	ch5=  40,	time=1728463220023780,	delta=842,	
seq=168,	ch0=1337,	ch1=   0,	ch2=1081,	ch3= 832,	ch4= 170,	ch5= 126,	time=1728463220024622,	delta=842,	
seq=169,	ch0=1163,	ch1=   0,	ch2=1292,	ch3= 843,	ch4=  92,	ch5= 224,	time=1728463220025463,	delta=841,	
seq=170,	ch0= 968,	ch1=   0,	ch2=1472,	ch3= 822,	ch4=  45,	ch5= 340,	time=1728463220026305,	delta=842,	
seq=171,	ch0= 757,	ch1=  74,	ch2=1604,	ch3= 783,	ch4=   0,	ch5= 436,	time=1728463220027147,	delta=842,	
seq=172,	ch0= 535,	ch1= 210,	ch2=1705,	ch3= 689,	ch4=   0,	ch5= 559,	time=1728463220027989,	delta=842,	
seq=173,	ch0= 350,	ch1= 397,	ch2=1738,	ch3= 591,	ch4=   0,	ch5= 675,	time=1728463220028831,	delta=842,	
seq=174,	ch0= 178,	ch1= 608,	ch2=1704,	ch3= 469,	ch4=   2,	ch5= 741,	time=1728463220029673,	delta=842,	
seq=175,	ch0=   0,	ch1= 820,	ch2=1600,	ch3= 418,	ch4=  52,	ch5= 847,	time=1728463220030515,	delta=842,	
seq=176,	ch0=   0,	ch1=1032,	ch2=1450,	ch3= 178,	ch4= 123,	ch5= 806,	time=1728463220031377,	delta=862,	
seq=177,	ch0=   0,	ch1=1228,	ch2=1240,	ch3= 111,	ch4= 209,	ch5= 855,	time=1728463220032219,	delta=842,	
seq=178,	ch0=   0,	ch1=1408,	ch2=1025,	ch3=  64,	ch4= 313,	ch5= 818,	time=1728463220033060,	delta=841,	
seq=179,	ch0=  78,	ch1=1539,	ch2= 800,	ch3=  10,	ch4= 411,	ch5= 745,	time=1728463220033902,	delta=842,	
seq=180,	ch0= 234,	ch1=1609,	ch2= 562,	ch3=   0,	ch4= 501,	ch5= 663,	time=1728463220034744,	delta=842,	
seq=181,	ch0= 405,	ch1=1637,	ch2= 356,	ch3=   0,	ch4= 586,	ch5= 564,	time=1728463220035586,	delta=842,	
seq=182,	ch0= 609,	ch1=1600,	ch2= 188,	ch3=   0,	ch4= 633,	ch5= 448,	time=1728463220036428,	delta=842,	
seq=183,	ch0= 821,	ch1=1500,	ch2=  29,	ch3=  47,	ch4= 677,	ch5= 309,	time=1728463220037270,	delta=842,	
seq=184,	ch0=1032,	ch1=1424,	ch2=   0,	ch3= 133,	ch4= 697,	ch5= 205,	time=1728463220038112,	delta=842,	
seq=185,	ch0=1228,	ch1=1213,	ch2=   0,	ch3= 235,	ch4= 696,	ch5= 111,	time=1728463220038953,	delta=841,	
seq=186,	ch0=1387,	ch1= 960,	ch2=   0,	ch3= 352,	ch4= 695,	ch5=  42,	time=1728463220039795,	delta=842,	
seq=187,	ch0=1532,	ch1= 699,	ch2= 104,	ch3= 488,	ch4= 642,	ch5=   0,	time=1728463220040637,	delta=842,	
seq=188,	ch0=1590,	ch1= 498,	ch2= 255,	ch3= 579,	ch4= 467,	ch5=   0,	time=1728463220041479,	delta=842,	
seq=189,	ch0=1735,	ch1= 303,	ch2= 481,	ch3= 690,	ch4= 389,	ch5=   0,	time=1728463220042321,	delta=842,	
seq=190,	ch0=1552,	ch1= 164,	ch2= 677,	ch3= 744,	ch4= 334,	ch5=   0,	time=1728463220043162,	delta=841,	
seq=191,	ch0=1445,	ch1=  42,	ch2= 909,	ch3= 812,	ch4= 245,	ch5=  55,	time=1728463220044004,	delta=842,	
seq=192,	ch0=1292,	ch1=   0,	ch2=1145,	ch3= 835,	ch4= 150,	ch5= 148,	time=1728463220044844,	delta=840,	
seq=193,	ch0=1114,	ch1=   0,	ch2=1346,	ch3= 842,	ch4=  77,	ch5= 250,	time=1728463220045686,	delta=842,	
seq=194,	ch0= 913,	ch1=   8,	ch2=1511,	ch3= 813,	ch4=  18,	ch5= 373,	time=1728463220046527,	delta=841,	
