seq=122,	ch0= 776,	ch1= 180,	ch2= 213,	ch3= 532,	ch4= 320,	ch5=   0,	time=1728462796608879,	delta=841,	
seq=123,	ch0= 767,	ch1=  89,	ch2= 305,	ch3= 597,	ch4= 237,	ch5=  23,	time=1728462796609720,	delta=841,	
seq=124,	ch0= 720,	ch1=  28,	ch2= 421,	ch3= 641,	ch4= 178,	ch5=  82,	time=1728462796610562,	delta=842,	
seq=125,	ch0= 634,	ch1=   0,	ch2= 576,	ch3= 640,	ch4=  74,	ch5= 244,	time=1728462796611403,	delta=841,	
seq=126,	ch0= 549,	ch1=   0,	ch2= 562,	ch3= 642,	ch4=  46,	ch5= 304,	time=1728462796612244,	delta=841,	
seq=127,	ch0= 481,	ch1=   2,	ch2= 674,	ch3= 600,	ch4=  26,	ch5= 376,	time=1728462796613085,	delta=841,	
seq=128,	ch0= 354,	ch1=  42,	ch2= 814,	ch3= 558,	ch4=   0,	ch5= 418,	time=1728462796613931,	delta=846,	
seq=129,	ch0= 242,	ch1= 109,	ch2= 846,	ch3= 488,	ch4=   0,	ch5= 509,	time=1728462796614772,	delta=841,	
seq=130,	ch0= 153,	ch1= 210,	ch2= 847,	ch3= 402,	ch4=   0,	ch5= 591,	time=1728462796615614,	delta=842,	
seq=131,	ch0=  68,	ch1= 305,	ch2= 821,	ch3= 306,	ch4=  34,	ch5= 631,	time=1728462796616456,	delta=842,	
seq=132,	ch0=   9,	ch1= 418,	ch2= 771,	ch3= 218,	ch4=  87,	ch5= 671,	time=1728462796617297,	delta=841,	
seq=133,	ch0=   0,	ch1= 506,	ch2= 691,	ch3= 142,	ch4= 133,	ch5= 670,	time=1728462796618139,	delta=842,	
seq=134,	ch0=  71,	ch1= 615,	ch2= 608,	ch3=  68,	ch4= 217,	ch5= 645,	time=1728462796618980,	delta=841,	
seq=135,	ch0=  34,	ch1= 696,	ch2= 501,	ch3=  18,	ch4= 298,	ch5= 611,	time=1728462796619821,	delta=841,	
seq=136,	ch0=  79,	ch1= 756,	ch2= 369,	ch3=   0,	ch4= 370,	ch5= 554,	time=1728462796620662,	delta=841,	
seq=137,	ch0=  18,	ch1= 798,	ch2= 290,	ch3=  34,	ch4= 442,	ch5= 511,	time=1728462796621503,	delta=841,	
seq=138,	ch0= 151,	ch1= 796,	ch2= 174,	ch3=   0,	ch4= 509,	ch5= 373,	time=1728462796622345,	delta=842,	
seq=139,	ch0= 277,	ch1= 794,	ch2=  58,	ch3=   0,	ch4= 540,	ch5= 320,	time=1728462796623186,	delta=841,	
seq=140,	ch0= 410,	ch1= 736,	ch2=   9,	ch3=  82,	ch4= 569,	ch5= 201,	time=1728462796624028,	delta=842,	
seq=141,	ch0= 517,	ch1= 658,	ch2=   0,	ch3= 151,	ch4= 576,	ch5= 124,	time=1728462796624869,	delta=841,	
seq=142,	ch0= 604,	ch1= 564,	ch2=   0,	ch3= 234,	ch4= 545,	ch5=  55,	time=1728462796625710,	delta=841,	
seq=143,	ch0= 690,	ch1= 462,	ch2=   0,	ch3= 325,	ch4= 503,	ch5=   4,	time=1728462796626551,	delta=841,	
seq=144,	ch0= 746,	ch1= 350,	ch2=  45,	ch3= 409,	ch4= 450,	ch5=   0,	time=1728462796627421,	delta=870,	
seq=145,	ch0= 779,	ch1= 249,	ch2= 119,	ch3= 482,	ch4= 381,	ch5=   0,	time=1728462796628263,	delta=842,	
seq=146,	ch0= 802,	ch1= 151,	ch2= 215,	ch3= 557,	ch4= 297,	ch5=   0,	time=1728462796629104,	delta=841,	
seq=147,	ch0= 760,	ch1=  71,	ch2= 331,	ch3= 624,	ch4= 234,	ch5=  18,	time=1728462796629946,	delta=842,	
seq=148,	ch0= 711,	ch1=  38,	ch2= 450,	ch3= 648,	ch4= 153,	ch5=  77,	time=1728462796630788,	delta=842,	
seq=149,	ch0= 613,	ch1=   0,	ch2= 553,	ch3= 655,	ch4= 146,	ch5= 155,	time=1728462796631629,	delta=841,	
seq=150,	ch0= 553,	ch1=   0,	ch2= 658,	ch3= 661,	ch4=  71,	ch5= 250,	time=1728462796632470,	delta=841,	
seq=151,	ch0= 440,	ch1=   0,	ch2= 757,	ch3= 600,	ch4=   0,	ch5= 354,	time=1728462796633311,	delta=841,	
seq=152,	ch0= 334,	ch1=  55,	ch2= 817,	ch3= 538,	ch4=   0,	ch5= 448,	time=1728462796634152,	delta=841,	
seq=153,	ch0= 226,	ch1= 134,	ch2= 847,	ch3= 470,	ch4=   0,	ch5= 520,	time=1728462796634993,	delta=841,	
seq=154,	ch0= 133,	ch1= 233,	ch2= 847,	ch3= 377,	ch4=   0,	ch5= 585,	time=1728462796635835,	delta=842,	
seq=155,	ch0=  42,	ch1= 329,	ch2= 826,	ch3= 292,	ch4=  43,	ch5= 641,	time=1728462796636677,	delta=842,	
seq=156,	ch0=   0,	ch1= 448,	ch2= 749,	ch3= 199,	ch4= 107,	ch5= 673,	time=1728462796637519,	delta=842,	
seq=157,	ch0=   0,	ch1= 555,	ch2= 673,	ch3= 111,	ch4= 170,	ch5= 683,	time=1728462796638360,	delta=841,	
seq=158,	ch0=   0,	ch1= 654,	ch2= 577,	ch3=  53,	ch4= 250,	ch5= 644,	time=1728462796639201,	delta=841,	
seq=159,	ch0=   0,	ch1= 725,	ch2= 465,	ch3=   2,	ch4= 314,	ch5= 595,	time=1728462796640042,	delta=841,	
seq=160,	ch0=  14,	ch1= 766,	ch2= 440,	ch3=   0,	ch4= 412,	ch5= 526,	time=1728462796640870,	delta=828,	
seq=161,	ch0= 126,	ch1= 842,	ch2= 301,	ch3=   0,	ch4= 464,	ch5= 437,	time=1728462796641712,	delta=842,	
seq=162,	ch0= 233,	ch1= 779,	ch2=  64,	ch3=   0,	ch4= 535,	ch5= 440,	time=1728462796642554,	delta=842,	
seq=163,	ch0= 334,	ch1= 780,	ch2=  40,	ch3=  22,	ch4= 559,	ch5= 285,	time=1728462796643396,	delta=842,	
seq=164,	ch0= 439,	ch1= 714,	ch2=   0,	ch3=  93,	ch4= 562,	ch5= 178,	time=1728462796644238,	delta=842,	
seq=165,	ch0= 554,	ch1= 638,	ch2=   0,	ch3= 165,	ch4= 568,	ch5= 103,	time=1728462796645079,	delta=841,	
seq=166,	ch0= 639,	ch1= 548,	ch2=   0,	ch3= 250,	ch4= 540,	ch5=  38,	time=1728462796645920,	delta=841,	
seq=167,	ch0= 704,	ch1= 443,	ch2=   7,	ch3= 346,	ch4= 490,	ch5=   0,	time=1728462796646761,	delta=841,	
seq=168,	ch0= 757,	ch1= 309,	ch2=  73,	ch3= 431,	ch4= 431,	ch5=   0,	time=1728462796647602,	delta=841,	
seq=169,	ch0= 790,	ch1= 224,	ch2= 165,	ch3= 510,	ch4= 367,	ch5=   0,	time=1728462796648443,	delta=841,	
seq=170,	ch0= 780,	ch1= 117,	ch2= 253,	ch3= 576,	ch4= 285,	ch5=   0,	time=1728462796649284,	delta=841,	
seq=171,	ch0= 754,	ch1=  37,	ch2= 373,	ch3= 619,	ch4= 202,	ch5=  43,	time=1728462796650126,	delta=842,	
seq=172,	ch0= 743,	ch1=   0,	ch2= 473,	ch3= 713,	ch4= 109,	ch5= 132,	time=1728462796650968,	delta=842,	
seq=173,	ch0= 497,	ch1=   0,	ch2= 576,	ch3= 721,	ch4=  53,	ch5= 226,	time=1728462796651809,	delta=841,	
seq=174,	ch0= 431,	ch1=   0,	ch2= 722,	ch3= 680,	ch4=   5,	ch5= 299,	time=1728462796652650,	delta=841,	
seq=175,	ch0= 408,	ch1=   9,	ch2= 777,	ch3= 594,	ch4=   0,	ch5= 378,	time=1728462796653491,	delta=841,	
seq=176,	ch0= 292,	ch1=  66,	ch2= 835,	ch3= 526,	ch4=   0,	ch5= 465,	time=1728462796654343,	delta=852,	
seq=177,	ch0= 201,	ch1= 149,	ch2= 846,	ch3= 448,	ch4=   0,	ch5= 548,	time=1728462796655185,	delta=842,	
seq=178,	ch0= 109,	ch1= 250,	ch2= 847,	ch3= 354,	ch4=   9,	ch5= 613,	time=1728462796656027,	delta=842,	
seq=179,	ch0=  45,	ch1= 357,	ch2= 802,	ch3= 273,	ch4=  56,	ch5= 644,	time=1728462796656869,	delta=842,	
seq=180,	ch0=   0,	ch1= 470,	ch2= 762,	ch3= 184,	ch4= 119,	ch5= 736,	time=1728462796657711,	delta=842,	
seq=181,	ch0=   0,	ch1= 568,	ch2= 643,	ch3= 111,	ch4= 192,	ch5= 715,	time=1728462796658553,	delta=842,	
seq=182,	ch0=   0,	ch1= 659,	ch2= 536,	ch3=  43,	ch4= 269,	ch5= 666,	time=1728462796659394,	delta=841,	
seq=183,	ch0=   9,	ch1= 724,	ch2= 433,	ch3=   0,	ch4= 341,	ch5= 567,	time=1728462796660235,	delta=841,	
seq=184,	ch0=  40,	ch1= 907,	ch2= 298,	ch3=   4,	ch4= 430,	ch5= 477,	time=1728462796661076,	delta=841,	
