seq=91,	ch0= 722,	ch1= 426,	ch2=   5,	ch3= 297,	ch4= 114,	ch5=   5,	time=1728462666217499,	delta=841,	
seq=92,	ch0= 762,	ch1= 311,	ch2=  71,	ch3= 321,	ch4=  66,	ch5=  32,	time=1728462666218340,	delta=841,	
seq=93,	ch0= 789,	ch1= 212,	ch2= 161,	ch3= 328,	ch4=  34,	ch5=  71,	time=1728462666219181,	delta=841,	
seq=94,	ch0= 780,	ch1= 121,	ch2= 276,	ch3= 321,	ch4=   5,	ch5= 114,	time=1728462666220022,	delta=841,	
seq=95,	ch0= 741,	ch1=  50,	ch2= 378,	ch3= 309,	ch4=   0,	ch5= 165,	time=1728462666220863,	delta=841,	
seq=96,	ch0= 680,	ch1=   0,	ch2= 476,	ch3= 274,	ch4=   0,	ch5= 261,	time=1728462666221646,	delta=783,	
seq=97,	ch0= 596,	ch1=   0,	ch2= 589,	ch3= 235,	ch4=   0,	ch5= 246,	time=1728462666222487,	delta=841,	
seq=98,	ch0= 501,	ch1=   0,	ch2= 690,	ch3= 192,	ch4=   0,	ch5= 279,	time=1728462666223328,	delta=841,	
seq=99,	ch0= 405,	ch1=  21,	ch2= 777,	ch3= 145,	ch4=  11,	ch5= 293,	time=1728462666224169,	delta=841,	
seq=100,	ch0= 261,	ch1= 192,	ch2= 815,	ch3= 122,	ch4=  42,	ch5= 292,	time=1728462666225010,	delta=841,	
seq=101,	ch0= 197,	ch1= 261,	ch2= 836,	ch3= 101,	ch4=  93,	ch5= 312,	time=1728462666225851,	delta=841,	
seq=102,	ch0= 101,	ch1= 177,	ch2= 832,	ch3=  18,	ch4= 194,	ch5= 329,	time=1728462666226692,	delta=841,	
seq=103,	ch0=  23,	ch1= 370,	ch2= 788,	ch3=   0,	ch4= 162,	ch5= 314,	time=1728462666227533,	delta=841,	
seq=104,	ch0=   0,	ch1= 488,	ch2= 724,	ch3=   0,	ch4= 206,	ch5= 289,	time=1728462666228374,	delta=841,	
seq=105,	ch0=   0,	ch1= 591,	ch2= 636,	ch3=   0,	ch4= 235,	ch5= 249,	time=1728462666229215,	delta=841,	
seq=106,	ch0=   0,	ch1= 671,	ch2= 529,	ch3=   0,	ch4= 258,	ch5= 192,	time=1728462666230056,	delta=841,	
seq=107,	ch0=  21,	ch1= 746,	ch2= 416,	ch3=   2,	ch4= 290,	ch5= 145,	time=1728462666230897,	delta=841,	
seq=108,	ch0=  87,	ch1= 778,	ch2= 304,	ch3=  31,	ch4= 282,	ch5=  96,	time=1728462666231738,	delta=841,	
seq=109,	ch0= 171,	ch1= 798,	ch2= 210,	ch3=  89,	ch4= 285,	ch5=  50,	time=1728462666232579,	delta=841,	
seq=110,	ch0= 261,	ch1= 797,	ch2= 110,	ch3= 117,	ch4= 279,	ch5=  20,	time=1728462666233421,	delta=842,	
seq=111,	ch0= 290,	ch1= 759,	ch2=  37,	ch3= 209,	ch4= 247,	ch5=   0,	time=1728462666234262,	delta=841,	
seq=112,	ch0= 394,	ch1= 693,	ch2=  10,	ch3= 261,	ch4= 225,	ch5=  17,	time=1728462666235114,	delta=852,	
seq=113,	ch0= 516,	ch1= 604,	ch2=  11,	ch3= 290,	ch4= 181,	ch5=   0,	time=1728462666235955,	delta=841,	
seq=114,	ch0= 626,	ch1= 501,	ch2=   0,	ch3= 309,	ch4= 146,	ch5=   0,	time=1728462666236796,	delta=841,	
